Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Hamburger SV,30,23.5,15,1.41,42.35,L2,2023
2,1.FC Nuremberg,33,25.1,7,0.852,28.1,L2,2023
3,Fortuna Düsseldorf,30,25.6,12,0.875,26.25,L2,2023
4,Hannover 96,29,24.8,6,0.873,25.33,L2,2023
5,FC St. Pauli,32,24.9,16,0.75,24.0,L2,2023
6,Arminia Bielefeld,27,25.1,15,0.88,23.75,L2,2023
7,SV Darmstadt 98,27,25.6,11,0.868,23.43,L2,2023
8,SpVgg Greuther Fürth,28,23.8,11,0.757,21.2,L2,2023
9,Karlsruher SC,30,26.2,11,0.645,19.35,L2,2023
10,Eintracht Braunschweig,29,25.8,9,0.659,19.13,L2,2023
11,SC Paderborn 07,26,25.5,5,0.72,18.73,L2,2023
12,1.FC Heidenheim 1846,27,25.6,3,0.672,18.15,L2,2023
13,Holstein Kiel,30,27.1,5,0.575,17.25,L2,2023
14,SV Sandhausen,30,26.8,10,0.534,16.03,L2,2023
15,SSV Jahn Regensburg,28,25.9,8,0.528,14.78,L2,2023
16,FC Hansa Rostock,30,26.9,13,0.488,14.65,L2,2023
17,1.FC Kaiserslautern,27,26.7,4,0.538,14.53,L2,2023
18,1.FC Magdeburg,34,25.1,11,0.416,14.15,L2,2023
