Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Queens Park Rangers,48,27.5,29,1.86,89.1,GB2,2014
2,Wigan Athletic,41,26.3,23,1.88,77.0,GB2,2014
3,Nottingham Forest,40,26.5,21,1.14,45.75,GB2,2014
4,Blackburn Rovers,41,24.9,21,1.08,44.3,GB2,2014
5,Bolton Wanderers,41,25.6,17,1.06,43.4,GB2,2014
6,Watford FC,42,25.0,31,1.01,42.55,GB2,2014
7,Reading FC,37,25.3,27,1.1,40.55,GB2,2014
8,Leicester City,33,26.4,18,1.11,36.55,GB2,2014
9,Derby County,42,24.5,19,0.83,34.85,GB2,2014
10,Middlesbrough FC,40,25.2,17,0.853,34.13,GB2,2014
11,Leeds United,36,26.6,12,0.943,33.95,GB2,2014
12,Blackpool FC,47,25.5,24,0.674,31.7,GB2,2014
13,Brighton & Hove Albion,36,26.8,22,0.857,30.85,GB2,2014
14,Burnley FC,29,25.3,13,0.88,25.53,GB2,2014
15,Barnsley FC,45,25.7,19,0.563,25.35,GB2,2014
16,Sheffield Wednesday,45,25.6,25,0.559,25.15,GB2,2014
17,Millwall FC,46,27.6,20,0.499,22.95,GB2,2014
18,Birmingham City,43,24.6,21,0.467,20.1,GB2,2014
19,Huddersfield Town,33,24.6,14,0.592,19.53,GB2,2014
20,AFC Bournemouth,38,26.0,21,0.509,19.35,GB2,2014
21,Charlton Athletic,40,24.8,17,0.456,18.25,GB2,2014
22,Ipswich Town,40,23.8,17,0.429,17.18,GB2,2014
23,Yeovil Town,38,24.8,16,0.393,14.95,GB2,2014
24,Doncaster Rovers,37,25.6,16,0.4,14.8,GB2,2014
