Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Girona FC,37,26.1,10,1.12,41.38,ES2,2020
2,Rayo Vallecano,42,25.4,11,0.904,37.98,ES2,2020
3,Deportivo de La Coruña,42,26.0,15,0.833,35.0,ES2,2020
4,UD Las Palmas,43,26.3,10,0.786,33.8,ES2,2020
5,UD Almería,44,24.5,17,0.763,33.55,ES2,2020
6,SD Huesca,32,25.8,7,0.959,30.68,ES2,2020
7,Real Zaragoza,36,25.3,13,0.705,25.38,ES2,2020
8,Cádiz CF,41,26.5,12,0.523,21.45,ES2,2020
9,Málaga CF,37,24.2,12,0.542,20.05,ES2,2020
10,Sporting Gijón,33,25.6,7,0.589,19.43,ES2,2020
11,Real Oviedo,35,26.6,7,0.464,16.25,ES2,2020
12,Elche CF,35,25.3,5,0.447,15.65,ES2,2020
13,Albacete Balompié,37,26.4,12,0.408,15.1,ES2,2020
14,CD Tenerife,31,25.8,7,0.473,14.68,ES2,2020
15,CD Mirandés,31,25.5,13,0.436,13.53,ES2,2020
16,CD Lugo,37,25.8,11,0.335,12.4,ES2,2020
17,Racing Santander,37,26.6,7,0.314,11.63,ES2,2020
18,CD Numancia,37,25.0,5,0.299,11.08,ES2,2020
19,AD Alcorcón,32,26.4,9,0.332,10.63,ES2,2020
20,SD Ponferradina,33,26.7,8,0.321,10.6,ES2,2020
21,Extremadura UD,36,26.6,9,0.292,10.5,ES2,2020
22,CF Fuenlabrada,35,26.2,7,0.296,10.35,ES2,2020
