Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,RKC Waalwijk,32,23.9,13,0.328,10.5,NL2,2009
2,VVV-Venlo,26,24.0,8,0.358,9.3,NL2,2009
3,Excelsior Rotterdam,28,23.1,3,0.308,8.63,NL2,2009
4,MVV Maastricht,30,23.7,20,0.273,8.18,NL2,2009
5,Cambuur-Leeuwarden bvo,29,25.3,4,0.262,7.6,NL2,2009
6,Go Ahead Eagles,32,24.3,5,0.225,7.2,NL2,2009
7,FC Dordrecht,33,25.1,9,0.203,6.7,NL2,2009
8,FC Zwolle,31,23.0,8,0.207,6.43,NL2,2009
9,FC Eindhoven,37,22.6,12,0.167,6.18,NL2,2009
10,FC Emmen,33,23.9,7,0.18,5.95,NL2,2009
11,FC Den Bosch,31,22.7,7,0.191,5.93,NL2,2009
12,RBC Roosendaal,34,23.9,9,0.155,5.28,NL2,2009
13,SC Veendam,28,24.3,5,0.184,5.15,NL2,2009
14,AGOVV Apeldoorn,35,23.2,12,0.147,5.15,NL2,2009
15,SC Telstar,26,24.3,4,0.195,5.08,NL2,2009
16,HFC Haarlem,32,23.6,2,0.155,4.95,NL2,2009
17,Helmond Sport,25,24.1,5,0.192,4.8,NL2,2009
18,TOP Oss,34,22.8,7,0.139,4.73,NL2,2009
19,FC Omniworld,30,23.4,4,0.148,4.45,NL2,2009
20,Fortuna Sittard,25,22.5,12,0.142,3.55,NL2,2009
