Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Paris Saint-Germain,32,25.3,16,11.37,363.9,FR1,2015
2,AS Monaco,34,24.1,26,5.52,187.7,FR1,2015
3,Olympique Lyon,31,24.4,14,4.67,144.65,FR1,2015
4,Olympique Marseille,34,23.2,16,4.11,139.7,FR1,2015
5,AS Saint-Étienne,31,25.4,12,2.69,83.35,FR1,2015
6,LOSC Lille,31,25.3,18,2.67,82.65,FR1,2015
7,FC Girondins Bordeaux,39,23.8,24,1.83,71.5,FR1,2015
8,Stade Rennais FC,30,24.9,19,2.2,66.0,FR1,2015
9,FC Lorient,39,24.7,20,1.54,59.95,FR1,2015
10,OGC Nice,37,23.4,14,1.52,56.25,FR1,2015
11,Montpellier HSC,36,25.2,19,1.44,51.95,FR1,2015
12,FC Toulouse,36,23.7,25,1.36,48.8,FR1,2015
13,FC Nantes,30,25.0,19,1.56,46.85,FR1,2015
14,Stade Reims,32,25.7,19,1.23,39.25,FR1,2015
15,EA Guingamp,31,26.8,14,1.17,36.25,FR1,2015
16,FC Évian Thonon Gaillard,33,27.0,21,1.1,36.15,FR1,2015
17,SC Bastia,41,24.6,20,0.835,34.25,FR1,2015
18,SM Caen,27,27.1,11,1.2,32.4,FR1,2015
19,FC Metz,32,25.4,23,0.933,29.85,FR1,2015
20,RC Lens,29,24.4,16,0.938,27.2,FR1,2015
