Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,SL Benfica B,53,20.8,28,1.06,56.2,PO2,2013
2,Sporting CP B,47,20.6,19,0.93,43.7,PO2,2013
3,FC Porto B,41,20.5,19,1.03,42.2,PO2,2013
4,SC Braga B,45,22.0,24,0.577,25.95,PO2,2013
5,CS Marítimo B,46,23.5,22,0.389,17.9,PO2,2013
6,Vitória Guimarães SC B,44,21.8,16,0.388,17.05,PO2,2013
7,CD Feirense,36,25.4,18,0.294,10.58,PO2,2013
8,CF Os Belenenses,33,24.4,14,0.314,10.35,PO2,2013
9,Naval 1º de Maio,33,25.4,13,0.305,10.05,PO2,2013
10,FC Arouca,27,27.4,10,0.293,7.9,PO2,2013
11,Desportivo Aves (- 2020),30,25.6,8,0.258,7.75,PO2,2013
12,Leixões SC,36,23.9,8,0.208,7.5,PO2,2013
13,Portimonense SC,34,25.5,12,0.212,7.2,PO2,2013
14,FC Penafiel,31,25.5,7,0.21,6.5,PO2,2013
15,CD Tondela,29,26.7,10,0.209,6.05,PO2,2013
16,CF União Madeira (-2021),29,29.0,13,0.197,5.7,PO2,2013
17,CD Trofense,37,23.6,14,0.142,5.25,PO2,2013
18,SC Covilhã,29,26.8,9,0.181,5.25,PO2,2013
19,CD Santa Clara,27,26.0,8,0.189,5.1,PO2,2013
20,UD Oliveirense,34,26.3,7,0.149,5.05,PO2,2013
21,SC Freamunde,32,25.0,4,0.148,4.75,PO2,2013
22,Atlético CP,28,27.8,5,0.166,4.65,PO2,2013
