Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Manchester City,36,24.9,23,29.01,1040.0,GB1,2021
2,Liverpool FC,43,24.4,28,22.55,969.65,GB1,2021
3,Chelsea FC,39,25.2,23,22.8,889.2,GB1,2021
4,Manchester United,39,24.9,24,19.74,770.05,GB1,2021
5,Tottenham Hotspur,41,24.6,23,17.16,703.5,GB1,2021
6,Arsenal FC,42,24.4,26,14.74,619.25,GB1,2021
7,Everton FC,44,24.7,26,11.62,511.2,GB1,2021
8,Leicester City,40,25.3,25,12.77,510.7,GB1,2021
9,Wolverhampton Wanderers,38,23.9,32,11.85,450.3,GB1,2021
10,Aston Villa,53,23.3,24,8.13,430.75,GB1,2021
11,West Ham United,39,26.5,23,8.59,334.9,GB1,2021
12,Brighton & Hove Albion,46,24.3,30,6.31,290.4,GB1,2021
13,Southampton FC,39,24.5,21,7.25,282.8,GB1,2021
14,Newcastle United,33,26.9,18,7.74,255.35,GB1,2021
15,Fulham FC,38,26.4,30,6.31,239.75,GB1,2021
16,Leeds United,39,24.5,23,6.11,238.1,GB1,2021
17,Crystal Palace,36,27.7,18,5.38,193.85,GB1,2021
18,Sheffield United,40,24.9,15,3.75,149.85,GB1,2021
19,West Bromwich Albion,43,26.1,17,3.28,141.15,GB1,2021
20,Burnley FC,32,26.6,11,4.13,132.3,GB1,2021
