Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Eintracht Frankfurt,37,25.2,17,1.18,43.53,L2,2012
2,SpVgg Greuther Fürth,28,25.2,10,0.934,26.15,L2,2012
3,Fortuna Düsseldorf,29,25.2,11,0.814,23.6,L2,2012
4,FC St. Pauli,30,25.8,5,0.717,21.5,L2,2012
5,TSV 1860 Munich,31,25.0,8,0.659,20.43,L2,2012
6,FC Energie Cottbus,33,25.0,11,0.592,19.53,L2,2012
7,VfL Bochum,36,24.7,12,0.542,19.5,L2,2012
8,MSV Duisburg,31,25.0,19,0.498,15.45,L2,2012
9,SG Dynamo Dresden,31,25.8,11,0.493,15.28,L2,2012
10,SC Paderborn 07,26,25.3,7,0.587,15.25,L2,2012
11,Karlsruher SC,38,25.8,15,0.375,14.25,L2,2012
12,Eintracht Braunschweig,29,25.2,8,0.468,13.58,L2,2012
13,FC Ingolstadt 04,32,27.1,10,0.42,13.45,L2,2012
14,Alemannia Aachen,35,25.2,10,0.383,13.4,L2,2012
15,FSV Frankfurt,33,25.3,17,0.401,13.23,L2,2012
16,1.FC Union Berlin,31,24.4,7,0.423,13.13,L2,2012
17,FC Erzgebirge Aue,28,25.5,3,0.464,13.0,L2,2012
18,FC Hansa Rostock,29,25.1,6,0.34,9.85,L2,2012
