Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,FC Internazionale,48,25.4,28,6.31,303.05,IT1,2012
2,AC Milan,45,26.2,21,6.08,273.53,IT1,2012
3,Juventus FC,34,27.8,12,7.71,262.28,IT1,2012
4,SSC Napoli,29,28.2,15,7.06,204.75,IT1,2012
5,AS Roma,39,25.5,18,4.43,172.78,IT1,2012
6,Udinese Calcio,49,23.4,25,2.86,140.13,IT1,2012
7,ACF Fiorentina,40,24.6,21,3.27,130.83,IT1,2012
8,US Palermo,46,24.5,25,2.59,119.05,IT1,2012
9,SS Lazio,52,25.3,22,2.19,113.63,IT1,2012
10,Genoa CFC,39,25.7,21,2.67,104.3,IT1,2012
11,Parma FC,43,25.2,12,1.92,82.35,IT1,2012
12,Cagliari Calcio,33,24.8,12,2.17,71.65,IT1,2012
13,Atalanta BC,36,27.4,5,1.88,67.58,IT1,2012
14,Bologna FC 1909,41,24.8,18,1.56,63.9,IT1,2012
15,Calcio Catania,39,26.5,21,1.52,59.25,IT1,2012
16,Chievo Verona,40,26.2,20,1.12,44.8,IT1,2012
17,AC Siena,37,26.9,10,1.06,39.33,IT1,2012
18,AC Cesena,45,25.2,21,0.867,39.03,IT1,2012
19,US Lecce,41,25.8,17,0.915,37.53,IT1,2012
20,Novara Calcio 1908,38,26.8,13,0.748,28.43,IT1,2012
