Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,FC Porto,42,24.6,30,5.44,228.63,PO1,2016
2,SL Benfica,36,25.0,25,5.77,207.8,PO1,2016
3,Sporting CP,36,25.4,22,5.45,196.05,PO1,2016
4,SC Braga,37,24.9,25,2.2,81.4,PO1,2016
5,Vitória Guimarães SC,43,23.5,22,0.938,40.33,PO1,2016
6,Rio Ave FC,37,24.7,17,0.957,35.4,PO1,2016
7,CF Os Belenenses,37,26.4,10,0.864,31.95,PO1,2016
8,GD Estoril Praia,32,24.8,25,0.873,27.95,PO1,2016
9,FC Paços de Ferreira,35,24.2,11,0.748,26.18,PO1,2016
10,CS Marítimo,36,25.4,25,0.719,25.9,PO1,2016
11,FC Arouca,35,25.7,22,0.665,23.28,PO1,2016
12,Vitória Setúbal FC,35,25.8,17,0.649,22.73,PO1,2016
13,CD Nacional,34,23.9,20,0.655,22.28,PO1,2016
14,Académica Coimbra,30,25.8,14,0.593,17.8,PO1,2016
15,Boavista FC,39,25.3,26,0.453,17.68,PO1,2016
16,Moreirense FC,30,26.5,18,0.543,16.3,PO1,2016
17,CD Tondela,32,26.3,22,0.461,14.75,PO1,2016
18,CF União Madeira (-2021),35,26.1,21,0.4,14.0,PO1,2016
