VRank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,SL Benfica B,27,20.1,10,0.735,19.85,PO2,2024
2,FC Porto B,32,20.0,6,0.423,13.55,PO2,2024
3,Académico Viseu FC,31,23.6,22,0.419,12.98,PO2,2024
4,CD Santa Clara,29,26.1,17,0.416,12.05,PO2,2024
5,CS Marítimo,31,25.8,20,0.326,10.1,PO2,2024
6,SC União Torreense,30,26.9,18,0.256,7.68,PO2,2024
7,CD Tondela,27,26.6,12,0.274,7.4,PO2,2024
8,FC Paços de Ferreira,27,25.4,16,0.269,7.28,PO2,2024
9,CD Nacional,27,24.9,14,0.228,6.15,PO2,2024
10,Avs Futebol SAD,26,27.0,17,0.236,6.13,PO2,2024
11,CD Mafra,27,22.9,16,0.223,6.03,PO2,2024
12,FC Penafiel,28,26.1,4,0.211,5.9,PO2,2024
13,União de Leiria,30,26.8,12,0.183,5.5,PO2,2024
14,CF Os Belenenses,29,24.9,9,0.179,5.2,PO2,2024
15,Leixões SC,34,25.9,19,0.14,4.75,PO2,2024
16,CD Feirense,27,24.1,16,0.15,4.05,PO2,2024
17,UD Oliveirense,27,26.3,15,0.141,3.8,PO2,2024
18,Länk FC Vilaverdense,26,27.0,12,0.088,2.28,PO2,2024
