Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Ajax Amsterdam,35,22.7,16,3.34,116.8,NL1,2014
2,PSV Eindhoven,33,22.9,16,2.83,93.25,NL1,2014
3,Vitesse Arnhem,36,22.8,24,1.81,65.08,NL1,2014
4,Feyenoord Rotterdam,33,24.0,8,1.85,61.05,NL1,2014
5,Twente Enschede FC,36,23.5,21,1.69,60.8,NL1,2014
6,AZ Alkmaar,34,24.0,17,1.45,49.4,NL1,2014
7,SC Heerenveen,34,23.5,17,1.1,37.43,NL1,2014
8,FC Utrecht,40,23.8,17,0.706,28.25,NL1,2014
9,FC Groningen,32,23.8,13,0.752,24.08,NL1,2014
10,ADO Den Haag,33,23.3,10,0.553,18.25,NL1,2014
11,Heracles Almelo,31,24.5,13,0.558,17.3,NL1,2014
12,PEC Zwolle,37,23.7,16,0.464,17.18,NL1,2014
13,NEC Nijmegen,35,24.1,19,0.469,16.4,NL1,2014
14,Roda JC Kerkrade,32,24.5,15,0.501,16.03,NL1,2014
15,NAC Breda,27,26.0,8,0.451,12.18,NL1,2014
16,RKC Waalwijk,36,25.4,12,0.312,11.23,NL1,2014
17,SC Cambuur Leeuwarden,29,25.0,8,0.334,9.7,NL1,2014
18,Go Ahead Eagles,31,23.5,7,0.303,9.4,NL1,2014
