VRank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Bayern Munich,25,26.2,13,37.93,948.15,L1,2024
2,Bayer 04 Leverkusen,27,24.2,21,19.38,523.25,L1,2024
3,RB Leipzig,27,25.0,18,18.11,489.1,L1,2024
4,Borussia Dortmund,28,25.5,13,16.66,466.6,L1,2024
5,VfL Wolfsburg,29,24.2,19,8.81,255.4,L1,2024
6,Borussia Mönchengladbach,31,25.2,17,6.47,200.45,L1,2024
7,1.FC Union Berlin,28,26.9,16,6.77,189.65,L1,2024
8,Eintracht Frankfurt,36,24.1,20,5.24,188.5,L1,2024
9,VfB Stuttgart,29,23.5,11,6.21,180.1,L1,2024
10,SC Freiburg,26,26.1,9,6.62,172.2,L1,2024
11,TSG 1899 Hoffenheim,30,25.7,13,4.99,149.7,L1,2024
12,FC Augsburg,32,24.7,20,3.68,117.75,L1,2024
13,1.FSV Mainz 05,25,26.4,12,4.21,105.35,L1,2024
14,1.FC Köln,31,25.2,8,3.19,98.8,L1,2024
15,SV Werder Bremen,24,26.4,10,3.73,89.4,L1,2024
16,VfL Bochum,30,27.3,14,1.89,56.7,L1,2024
17,1.FC Heidenheim 1846,28,25.7,6,1.41,39.6,L1,2024
18,SV Darmstadt 98,30,25.8,11,1.32,39.5,L1,2024
