Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Paris Saint-Germain,41,25.7,27,21.35,875.15,FR1,2022
2,Olympique Lyon,40,24.3,21,9.94,397.7,FR1,2022
3,AS Monaco,41,23.3,22,9.66,396.0,FR1,2022
4,LOSC Lille,41,24.0,29,7.48,306.88,FR1,2022
5,Stade Rennais FC,36,22.9,11,8.48,305.35,FR1,2022
6,Olympique Marseille,38,23.5,21,7.49,284.7,FR1,2022
7,OGC Nice,34,23.8,20,7.83,266.05,FR1,2022
8,RC Lens,35,24.8,17,4.4,154.05,FR1,2022
9,Stade Reims,40,23.5,27,3.74,149.4,FR1,2022
10,Montpellier HSC,36,24.8,16,4.02,144.6,FR1,2022
11,RC Strasbourg Alsace,33,24.8,16,3.64,120.05,FR1,2022
12,FC Girondins Bordeaux,54,24.0,33,2.16,116.85,FR1,2022
13,FC Nantes,31,25.6,13,3.63,112.65,FR1,2022
14,AS Saint-Étienne,44,24.0,20,2.4,105.65,FR1,2022
15,Stade Brestois 29,30,25.5,9,3.44,103.15,FR1,2022
16,FC Metz,41,25.0,27,2.22,91.05,FR1,2022
17,Angers SCO,38,25.4,18,2.36,89.5,FR1,2022
18,ESTAC Troyes,50,24.6,25,1.46,73.2,FR1,2022
19,FC Lorient,35,25.4,13,1.75,61.3,FR1,2022
20,Clermont Foot 63,39,25.1,22,1.41,55.1,FR1,2022
