Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,FC Porto,35,24.5,20,3.52,123.25,PO1,2009
2,SL Benfica,27,25.6,19,4.3,116.2,PO1,2009
3,Sporting CP,31,24.0,13,3.2,99.1,PO1,2009
4,SC Braga,34,25.3,19,1.46,49.6,PO1,2009
5,Vitória Guimarães SC,34,25.9,17,0.903,30.7,PO1,2009
6,Leixões SC,31,26.4,14,0.877,27.2,PO1,2009
7,CS Marítimo,39,26.2,27,0.686,26.75,PO1,2009
8,CF Os Belenenses,37,24.8,27,0.677,25.05,PO1,2009
9,Vitória Setúbal FC,30,25.7,19,0.763,22.9,PO1,2009
10,CD Nacional,30,23.4,23,0.657,19.7,PO1,2009
11,CD Trofense,31,28.3,13,0.626,19.4,PO1,2009
12,FC Paços de Ferreira,34,27.0,16,0.551,18.75,PO1,2009
13,Académica Coimbra,30,25.8,14,0.62,18.6,PO1,2009
14,Clube Futebol Estrela da Amadora,29,25.4,10,0.638,18.5,PO1,2009
15,Rio Ave FC,30,27.1,11,0.6,18.0,PO1,2009
16,Naval 1º de Maio,28,25.6,19,0.589,16.5,PO1,2009
