Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,PSV Eindhoven,35,25.4,22,2.76,96.65,NL1,2006
2,Ajax Amsterdam,32,23.9,19,2.73,87.25,NL1,2006
3,Feyenoord Rotterdam,34,24.2,17,2.26,76.88,NL1,2006
4,AZ Alkmaar,27,26.7,9,1.83,49.5,NL1,2006
5,SC Heerenveen,34,23.2,17,1.21,41.08,NL1,2006
6,Roda JC Kerkrade,29,25.6,21,0.891,25.85,NL1,2006
7,Vitesse Arnhem,29,24.1,10,0.888,25.75,NL1,2006
8,Twente Enschede FC,28,24.9,15,0.813,22.75,NL1,2006
9,Willem II Tilburg,33,25.0,17,0.563,18.58,NL1,2006
10,FC Utrecht,27,25.3,9,0.683,18.45,NL1,2006
11,NAC Breda,29,25.0,8,0.633,18.35,NL1,2006
12,NEC Nijmegen,25,25.0,9,0.715,17.88,NL1,2006
13,ADO Den Haag,31,25.6,13,0.565,17.5,NL1,2006
14,RKC Waalwijk,37,24.7,10,0.451,16.67,NL1,2006
15,FC Groningen,27,24.3,8,0.499,13.48,NL1,2006
16,Sparta Rotterdam,27,25.2,8,0.421,11.38,NL1,2006
17,RBC Roosendaal,28,25.8,13,0.388,10.85,NL1,2006
18,Heracles Almelo,23,26.2,8,0.424,9.75,NL1,2006
