Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Manchester City,46,24.3,34,26.16,1200.0,GB1,2019
2,Liverpool FC,39,24.7,25,30.06,1170.0,GB1,2019
3,Chelsea FC,54,25.6,40,21.6,1170.0,GB1,2019
4,Tottenham Hotspur,34,25.4,20,26.43,898.6,GB1,2019
5,Manchester United,36,25.3,22,22.16,797.6,GB1,2019
6,Arsenal FC,42,24.9,28,15.69,659.05,GB1,2019
7,Everton FC,40,26.0,28,13.23,529.1,GB1,2019
8,Leicester City,37,26.4,26,11.73,434.1,GB1,2019
9,West Ham United,37,26.6,23,9.7,359.0,GB1,2019
10,AFC Bournemouth,37,25.7,17,8.38,310.0,GB1,2019
11,Southampton FC,40,24.9,19,7.64,305.4,GB1,2019
12,Wolverhampton Wanderers,40,24.1,26,7.57,302.9,GB1,2019
13,Crystal Palace,36,26.4,21,8.03,289.0,GB1,2019
14,Fulham FC,33,25.7,26,7.7,254.25,GB1,2019
15,Newcastle United,37,26.0,23,6.61,244.65,GB1,2019
16,Watford FC,39,26.2,32,6.13,239.1,GB1,2019
17,Burnley FC,33,28.1,14,5.98,197.25,GB1,2019
18,Brighton & Hove Albion,41,25.8,29,4.74,194.35,GB1,2019
19,Huddersfield Town,33,25.3,21,4.17,137.45,GB1,2019
20,Cardiff City,35,27.3,20,3.23,113.0,GB1,2019
