Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,1. FC Köln,29,24.4,14,1.04,30.25,L2,2014
2,1.FC Kaiserslautern,32,25.2,16,0.797,25.5,L2,2014
3,Fortuna Düsseldorf,37,24.7,23,0.657,24.33,L2,2014
4,SpVgg Greuther Fürth,28,24.3,12,0.78,21.85,L2,2014
5,SC Paderborn 07,30,25.0,7,0.612,18.35,L2,2014
6,TSV 1860 Munich,30,25.7,7,0.562,16.85,L2,2014
7,FC St. Pauli,29,24.8,4,0.552,16.0,L2,2014
8,FC Ingolstadt 04,30,25.7,14,0.491,14.73,L2,2014
9,1.FC Union Berlin,30,25.8,10,0.461,13.83,L2,2014
10,Karlsruher SC,30,24.3,7,0.447,13.4,L2,2014
11,FSV Frankfurt,29,25.2,13,0.448,13.0,L2,2014
12,VfL Bochum,35,24.8,10,0.371,12.98,L2,2014
13,FC Erzgebirge Aue,32,26.6,10,0.405,12.98,L2,2014
14,SV Sandhausen,30,25.9,7,0.376,11.28,L2,2014
15,Arminia Bielefeld,37,25.2,5,0.302,11.18,L2,2014
16,VfR Aalen,28,26.6,8,0.377,10.55,L2,2014
17,FC Energie Cottbus,36,25.2,16,0.292,10.53,L2,2014
18,SG Dynamo Dresden,29,25.9,12,0.347,10.08,L2,2014
