Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,ESTAC Troyes,37,25.7,13,0.596,22.05,FR2,2015
2,Angers SCO,36,25.9,18,0.55,19.8,FR2,2015
3,AS Nancy-Lorraine,31,24.2,12,0.631,19.55,FR2,2015
4,Stade Brestois 29,34,24.9,13,0.526,17.9,FR2,2015
5,Dijon FCO,29,24.9,8,0.595,17.25,FR2,2015
6,FC Sochaux-Montbéliard,34,23.1,18,0.435,14.8,FR2,2015
7,AJ Auxerre,35,23.5,20,0.414,14.5,FR2,2015
8,Valenciennes FC,34,23.9,16,0.397,13.5,FR2,2015
9,AC Le Havre,33,24.3,15,0.367,12.1,FR2,2015
10,AC Ajaccio,37,24.8,11,0.315,11.65,FR2,2015
11,Clermont Foot 63,33,24.7,13,0.35,11.55,FR2,2015
12,Athlétic Club Arlésien,40,25.1,18,0.286,11.45,FR2,2015
13,Tours FC,34,23.0,12,0.304,10.35,FR2,2015
14,LB Châteauroux,31,24.7,10,0.31,9.6,FR2,2015
15,GFC Ajaccio,23,27.2,9,0.387,8.9,FR2,2015
16,Stade Lavallois,28,25.5,12,0.304,8.5,FR2,2015
17,Chamois Niortais FC,27,24.8,9,0.315,8.5,FR2,2015
18,US Créteil-Lusitanos,28,28.4,12,0.289,8.1,FR2,2015
19,Nîmes Olympique,29,25.0,11,0.262,7.6,FR2,2015
20,US Orléans,30,27.4,9,0.235,7.05,FR2,2015
