Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Fortuna Düsseldorf,36,25.4,15,0.998,35.93,L2,2021
2,Hamburger SV,31,25.2,10,1.15,35.6,L2,2021
3,VfL Bochum,31,26.0,13,1.09,33.9,L2,2021
4,SpVgg Greuther Fürth,27,23.7,11,1.13,30.53,L2,2021
5,1.FC Nuremberg,35,25.1,9,0.782,27.38,L2,2021
6,Hannover 96,31,26.0,15,0.776,24.05,L2,2021
7,FC St. Pauli,36,25.4,18,0.645,23.23,L2,2021
8,SC Paderborn 07,35,25.3,10,0.648,22.68,L2,2021
9,Holstein Kiel,28,25.9,5,0.763,21.35,L2,2021
10,1.FC Heidenheim 1846,31,25.5,1,0.661,20.5,L2,2021
11,SV Darmstadt 98,32,25.1,9,0.532,17.03,L2,2021
12,Karlsruher SC,32,25.1,10,0.481,15.4,L2,2021
13,SV Sandhausen,34,27.8,10,0.427,14.53,L2,2021
14,FC Erzgebirge Aue,28,26.6,6,0.494,13.83,L2,2021
15,VfL Osnabrück,32,26.3,7,0.411,13.15,L2,2021
16,SSV Jahn Regensburg,30,25.6,5,0.433,12.98,L2,2021
17,Würzburger Kickers,39,25.9,14,0.283,11.03,L2,2021
18,Eintracht Braunschweig,33,26.3,7,0.308,10.18,L2,2021
