VRank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,FC Girondins Bordeaux,28,23.4,16,1.14,31.95,FR2,2024
2,AS Saint-Étienne,24,26.4,9,1.31,31.45,FR2,2024
3,ESTAC Troyes,28,23.4,16,1.05,29.4,FR2,2024
4,AJ Auxerre,24,25.0,12,1.13,27.15,FR2,2024
5,Angers SCO,26,24.7,12,0.985,25.6,FR2,2024
6,SM Caen,24,26.0,8,0.796,19.1,FR2,2024
7,Amiens SC,27,25.4,16,0.684,18.48,FR2,2024
8,EA Guingamp,30,25.9,9,0.578,17.35,FR2,2024
9,Grenoble Foot 38,27,25.5,13,0.528,14.25,FR2,2024
10,Valenciennes FC,34,23.3,19,0.416,14.15,FR2,2024
11,Paris FC,25,25.1,11,0.56,14.0,FR2,2024
12,SC Bastia,27,25.0,8,0.48,12.95,FR2,2024
13,USL Dunkerque,26,25.5,12,0.493,12.83,FR2,2024
14,Pau FC,30,25.9,14,0.415,12.45,FR2,2024
15,AC Ajaccio,26,27.2,10,0.456,11.85,FR2,2024
16,Quevilly - Rouen Métropole,24,25.3,10,0.49,11.75,FR2,2024
17,Rodez AF,25,24.2,8,0.461,11.53,FR2,2024
18,FC Annecy,27,25.9,7,0.406,10.95,FR2,2024
19,Stade Lavallois,27,27.9,8,0.369,9.95,FR2,2024
20,US Concarneau,27,26.6,7,0.343,9.25,FR2,2024
