Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Ajax Amsterdam,40,23.1,17,10.7,428.1,NL1,2021
2,PSV Eindhoven,41,23.0,26,4.99,204.58,NL1,2021
3,AZ Alkmaar,42,23.3,12,3.23,135.53,NL1,2021
4,Feyenoord Rotterdam,36,24.3,14,3.01,108.38,NL1,2021
5,FC Utrecht,38,24.5,13,1.23,46.63,NL1,2021
6,FC Groningen,36,22.8,16,0.946,34.05,NL1,2021
7,Vitesse Arnhem,31,22.7,16,1.02,31.5,NL1,2021
8,SC Heerenveen,34,23.0,16,0.91,30.95,NL1,2021
9,Twente Enschede FC,30,23.0,14,0.945,28.35,NL1,2021
10,Willem II Tilburg,35,23.9,17,0.61,21.35,NL1,2021
11,Fortuna Sittard,37,24.2,23,0.501,18.55,NL1,2021
12,PEC Zwolle,34,23.6,12,0.519,17.65,NL1,2021
13,Heracles Almelo,32,23.3,20,0.549,17.58,NL1,2021
14,Sparta Rotterdam,32,24.9,13,0.513,16.43,NL1,2021
15,ADO Den Haag,43,24.5,17,0.372,15.98,NL1,2021
16,FC Emmen,37,25.1,17,0.395,14.63,NL1,2021
17,VVV-Venlo,33,25.2,18,0.416,13.73,NL1,2021
18,RKC Waalwijk,31,24.8,18,0.375,11.63,NL1,2021
