Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,SL Benfica,33,25.1,22,11.61,383.0,PO1,2019
2,FC Porto,33,26.2,23,10.52,347.15,PO1,2019
3,Sporting CP,40,25.9,28,5.28,211.18,PO1,2019
4,SC Braga,29,25.6,15,3.41,99.0,PO1,2019
5,Portimonense SC,44,24.3,35,1.28,56.38,PO1,2019
6,Vitória Guimarães SC,36,25.0,20,1.44,51.8,PO1,2019
7,Rio Ave FC,45,24.4,26,0.76,34.2,PO1,2019
8,Moreirense FC,34,25.2,20,0.779,26.5,PO1,2019
9,GD Chaves,36,26.6,22,0.654,23.55,PO1,2019
10,CD Santa Clara,38,26.4,21,0.539,20.48,PO1,2019
11,Boavista FC,35,26.9,24,0.537,18.8,PO1,2019
12,B SAD,35,25.6,17,0.519,18.18,PO1,2019
13,Vitória Setúbal FC,40,26.0,17,0.449,17.98,PO1,2019
14,CS Marítimo,45,25.2,34,0.393,17.68,PO1,2019
15,CD Tondela,29,25.9,11,0.576,16.7,PO1,2019
16,Desportivo Aves (- 2020),42,26.1,33,0.349,14.65,PO1,2019
17,CD Feirense,36,26.4,22,0.343,12.35,PO1,2019
18,CD Nacional,31,25.7,23,0.377,11.68,PO1,2019
