Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Olympique Lyon,37,23.8,20,5.72,211.7,FR1,2009
2,Olympique Marseille,32,25.7,17,4.59,146.9,FR1,2009
3,FC Girondins Bordeaux,26,25.1,13,4.75,123.5,FR1,2009
4,Paris Saint-Germain,31,24.7,13,3.01,93.35,FR1,2009
5,LOSC Lille,33,24.0,14,2.53,83.45,FR1,2009
6,AS Saint-Étienne,34,24.1,13,2.36,80.15,FR1,2009
7,Stade Rennais FC,38,24.5,17,2.09,79.4,FR1,2009
8,AS Monaco,37,24.0,27,2.1,77.65,FR1,2009
9,FC Toulouse,29,24.3,10,2.44,70.65,FR1,2009
10,AS Nancy-Lorraine,28,25.7,15,2.03,56.7,FR1,2009
11,OGC Nice,31,25.6,16,1.81,56.25,FR1,2009
12,AJ Auxerre,29,24.4,17,1.83,53.15,FR1,2009
13,Le Mans Union Club 72,30,23.7,18,1.73,52.0,FR1,2009
14,FC Sochaux-Montbéliard,33,25.1,17,1.54,50.9,FR1,2009
15,FC Lorient,30,26.4,10,1.64,49.25,FR1,2009
16,Valenciennes FC,26,27.6,14,1.61,41.75,FR1,2009
17,SM Caen,30,26.3,11,1.33,39.75,FR1,2009
18,FC Nantes,35,25.6,20,1.09,38.1,FR1,2009
19,Grenoble Foot 38,35,26.9,18,0.989,34.6,FR1,2009
20,AC Le Havre,43,23.8,17,0.737,31.7,FR1,2009
