Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Hertha BSC,31,25.3,18,1.24,38.45,L2,2011
2,FC Augsburg,32,25.7,14,0.95,30.4,L2,2011
3,VfL Bochum,31,25.8,13,0.879,27.25,L2,2011
4,TSV 1860 Munich,37,23.1,13,0.726,26.85,L2,2011
5,SpVgg Greuther Fürth,34,24.3,13,0.697,23.7,L2,2011
6,FC Energie Cottbus,31,24.5,13,0.655,20.3,L2,2011
7,Alemannia Aachen,34,25.0,12,0.586,19.93,L2,2011
8,MSV Duisburg,29,25.1,18,0.672,19.48,L2,2011
9,Fortuna Düsseldorf,26,26.4,8,0.656,17.05,L2,2011
10,Karlsruher SC,43,25.0,12,0.394,16.93,L2,2011
11,Arminia Bielefeld,44,25.0,17,0.312,13.73,L2,2011
12,FC Erzgebirge Aue,29,25.9,5,0.459,13.3,L2,2011
13,FC Ingolstadt 04,32,26.5,9,0.391,12.5,L2,2011
14,1.FC Union Berlin,32,25.0,9,0.38,12.15,L2,2011
15,FSV Frankfurt,28,25.4,10,0.416,11.65,L2,2011
16,SC Paderborn 07,29,25.2,8,0.402,11.65,L2,2011
17,VfL Osnabrück,28,26.1,9,0.357,10.0,L2,2011
18,Rot-Weiß Oberhausen,33,25.7,6,0.298,9.85,L2,2011
