Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,SL Benfica B,44,20.3,20,1.07,47.2,PO2,2018
2,FC Porto B,38,20.3,21,1.02,38.83,PO2,2018
3,Sporting CP B,38,20.8,12,0.68,25.85,PO2,2018
4,SC Braga B,38,21.8,16,0.372,14.13,PO2,2018
5,Vitória Guimarães SC B,42,21.3,22,0.303,12.73,PO2,2018
6,FC Arouca,33,25.7,23,0.297,9.8,PO2,2018
7,CD Nacional,31,25.7,22,0.283,8.78,PO2,2018
8,Leixões SC,42,23.9,32,0.202,8.48,PO2,2018
9,Académica Coimbra,34,25.6,8,0.232,7.88,PO2,2018
10,FC Famalicão,32,25.8,11,0.234,7.48,PO2,2018
11,CF União Madeira (-2021),38,25.7,27,0.189,7.2,PO2,2018
12,FC Penafiel,26,25.5,6,0.266,6.93,PO2,2018
13,SC Covilhã,31,24.6,18,0.217,6.73,PO2,2018
14,CD Santa Clara,29,27.7,15,0.226,6.55,PO2,2018
15,Académico Viseu FC,30,27.7,14,0.207,6.2,PO2,2018
16,Gil Vicente FC,34,24.8,16,0.18,6.13,PO2,2018
17,Real SC,34,24.0,18,0.174,5.93,PO2,2018
18,CD Cova Piedade,32,27.2,21,0.184,5.9,PO2,2018
19,UD Oliveirense,31,25.8,13,0.186,5.78,PO2,2018
20,Varzim SC,34,27.3,17,0.169,5.75,PO2,2018
