VRank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,FC Groningen,28,23.6,11,0.523,14.65,NL2,2024
2,Ajax Amsterdam U21,27,18.6,8,0.431,11.63,NL2,2024
3,AZ Alkmaar U21,31,19.2,2,0.33,10.23,NL2,2024
4,NAC Breda,31,23.9,12,0.327,10.13,NL2,2024
5,ADO Den Haag,28,25.1,12,0.286,8.0,NL2,2024
6,FC Emmen,23,25.9,6,0.343,7.9,NL2,2024
7,Willem II Tilburg,24,25.1,6,0.323,7.75,NL2,2024
8,SC Cambuur Leeuwarden,22,22.6,4,0.334,7.35,NL2,2024
9,FC Den Bosch,28,22.5,13,0.256,7.18,NL2,2024
10,Helmond Sport,28,24.4,15,0.217,6.08,NL2,2024
11,FC Eindhoven,23,23.1,11,0.263,6.05,NL2,2024
12,De Graafschap Doetinchem,33,22.5,7,0.183,6.03,NL2,2024
13,Roda JC Kerkrade,25,23.7,11,0.224,5.6,NL2,2024
14,VVV-Venlo,22,23.4,6,0.232,5.1,NL2,2024
15,FC Dordrecht,26,22.3,14,0.187,4.85,NL2,2024
16,PSV Eindhoven U21,27,18.6,10,0.171,4.63,NL2,2024
17,TOP Oss,28,23.6,12,0.163,4.58,NL2,2024
18,SC Telstar,31,23.6,9,0.144,4.48,NL2,2024
19,MVV Maastricht,26,22.1,12,0.139,3.63,NL2,2024
20,FC Utrecht U21,29,19.1,10,0.121,3.5,NL2,2024
