Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Ajax Amsterdam,39,22.9,20,3.41,133.05,NL1,2013
2,PSV Eindhoven,31,24.0,14,3.25,100.85,NL1,2013
3,Twente Enschede FC,42,24.3,21,2.03,85.05,NL1,2013
4,Vitesse Arnhem,28,23.3,16,2.35,65.85,NL1,2013
5,AZ Alkmaar,36,22.7,18,1.63,58.83,NL1,2013
6,Feyenoord Rotterdam,30,23.4,11,1.91,57.4,NL1,2013
7,SC Heerenveen,35,23.7,19,1.18,41.45,NL1,2013
8,FC Utrecht,32,23.5,13,0.93,29.75,NL1,2013
9,FC Groningen,38,22.7,15,0.67,25.48,NL1,2013
10,NEC Nijmegen,33,24.7,11,0.643,21.23,NL1,2013
11,Heracles Almelo,27,24.1,10,0.713,19.25,NL1,2013
12,ADO Den Haag,31,23.2,8,0.562,17.43,NL1,2013
13,VVV-Venlo,29,24.6,13,0.54,15.65,NL1,2013
14,Roda JC Kerkrade,32,24.1,21,0.475,15.2,NL1,2013
15,NAC Breda,29,24.7,7,0.491,14.25,NL1,2013
16,RKC Waalwijk,34,24.4,12,0.365,12.4,NL1,2013
17,PEC Zwolle,39,23.6,8,0.296,11.53,NL1,2013
18,Willem II Tilburg,33,24.7,9,0.233,7.7,NL1,2013
