Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Atalanta BC,38,26.0,8,1.04,39.58,IT2,2011
2,Torino FC,46,25.1,14,0.619,28.48,IT2,2011
3,Calcio Padova,44,23.6,13,0.591,26.03,IT2,2011
4,Reggina Calcio,45,24.1,12,0.517,23.25,IT2,2011
5,AC Siena,41,25.9,12,0.551,22.6,IT2,2011
6,Empoli FC,39,22.8,8,0.543,21.18,IT2,2011
7,AS Livorno,36,24.4,9,0.515,18.53,IT2,2011
8,Vicenza Calcio,45,24.3,9,0.368,16.55,IT2,2011
9,Frosinone Calcio,49,24.7,9,0.331,16.23,IT2,2011
10,Varese 1910,43,24.4,15,0.37,15.9,IT2,2011
11,US Sassuolo,41,25.0,4,0.343,14.08,IT2,2011
12,US Grosseto FC,46,24.7,11,0.295,13.55,IT2,2011
13,FC Crotone,34,24.5,10,0.385,13.08,IT2,2011
14,Novara Calcio 1908,34,27.1,11,0.348,11.83,IT2,2011
15,Piacenza FC,36,24.1,4,0.321,11.55,IT2,2011
16,Delfino Pescara 1936,47,25.1,2,0.235,11.05,IT2,2011
17,Ascoli Calcio 1898,40,24.0,8,0.274,10.98,IT2,2011
18,UC AlbinoLeffe,47,24.2,5,0.217,10.2,IT2,2011
19,AS Cittadella,33,26.7,5,0.304,10.03,IT2,2011
20,Modena FC,38,24.0,4,0.262,9.95,IT2,2011
21,US Triestina,48,24.1,11,0.17,8.18,IT2,2011
22,Calcio Portogruaro-Summaga,43,24.7,5,0.148,6.38,IT2,2011
