Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,CD Trofense,30,27.5,12,0.325,9.75,PO2,2010
2,CD Feirense,28,28.1,14,0.324,9.08,PO2,2010
3,Desportivo Aves (- 2020),32,26.0,6,0.222,7.1,PO2,2010
4,SC Beira-Mar,33,25.7,11,0.209,6.9,PO2,2010
5,Gil Vicente FC,31,24.5,10,0.205,6.35,PO2,2010
6,CD Santa Clara,25,27.4,13,0.242,6.05,PO2,2010
7,GD Estoril Praia,30,23.7,19,0.199,5.98,PO2,2010
8,GD Chaves,28,26.8,12,0.193,5.4,PO2,2010
9,SC Covilhã,34,25.6,11,0.144,4.9,PO2,2010
10,Portimonense SC,30,24.9,16,0.162,4.85,PO2,2010
11,UD Oliveirense,26,28.9,7,0.177,4.6,PO2,2010
12,Varzim SC,25,24.5,7,0.166,4.15,PO2,2010
13,SC Freamunde,26,25.8,8,0.158,4.1,PO2,2010
14,FC Penafiel,30,25.3,12,0.128,3.85,PO2,2010
15,AD Carregado,30,26.3,9,0.117,3.5,PO2,2010
16,CD Fátima,27,27.0,7,0.117,3.15,PO2,2010
