Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Sparta Rotterdam,38,23.3,9,0.293,11.15,NL2,2011
2,RKC Waalwijk,28,23.6,5,0.279,7.83,NL2,2011
3,SC Cambuur Leeuwarden,30,25.7,7,0.226,6.78,NL2,2011
4,FC Zwolle,29,23.8,4,0.222,6.43,NL2,2011
5,Helmond Sport,27,24.8,7,0.225,6.08,NL2,2011
6,FC Volendam,33,23.8,3,0.182,6.0,NL2,2011
7,Go Ahead Eagles,25,23.6,5,0.225,5.63,NL2,2011
8,FC Den Bosch,28,22.3,6,0.196,5.48,NL2,2011
9,FC Dordrecht,32,23.5,6,0.145,4.65,NL2,2011
10,SC Veendam,27,24.0,11,0.17,4.6,NL2,2011
11,MVV Maastricht,26,22.8,13,0.174,4.53,NL2,2011
12,Fortuna Sittard,38,22.1,14,0.116,4.43,NL2,2011
13,Almere City FC,31,23.1,4,0.136,4.23,NL2,2011
14,FC Emmen,30,23.4,8,0.141,4.23,NL2,2011
15,FC Eindhoven,25,23.2,5,0.162,4.05,NL2,2011
16,AGOVV Apeldoorn,27,24.9,7,0.148,4.0,NL2,2011
17,SC Telstar,28,23.6,7,0.139,3.9,NL2,2011
18,RBC Roosendaal,30,23.0,5,0.12,3.6,NL2,2011
