VRank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,RCD Espanyol Barcelona,23,27.0,6,2.87,66.0,ES2,2024
2,Elche CF,24,27.3,4,1.47,35.3,ES2,2024
3,Real Valladolid CF,25,25.9,12,1.35,33.65,ES2,2024
4,Real Zaragoza,24,26.0,6,1.33,31.8,ES2,2024
5,Real Oviedo,25,26.8,5,1.19,29.8,ES2,2024
6,SD Eibar,24,27.9,8,1.23,29.5,ES2,2024
7,Sporting Gijón,27,26.0,11,1.0,27.05,ES2,2024
8,Levante UD,26,25.1,4,0.95,24.7,ES2,2024
9,CD Leganés,25,26.4,7,0.796,19.9,ES2,2024
10,CD Tenerife,27,27.1,4,0.7,18.9,ES2,2024
11,FC Andorra,27,25.0,5,0.678,18.3,ES2,2024
12,Villarreal CF B,27,21.3,5,0.648,17.5,ES2,2024
13,SD Huesca,25,25.3,7,0.676,16.9,ES2,2024
14,Albacete Balompié,23,27.3,5,0.7,16.1,ES2,2024
15,Burgos CF,21,27.2,3,0.743,15.6,ES2,2024
16,FC Cartagena,24,28.8,7,0.621,14.9,ES2,2024
17,Racing Santander,23,26.3,2,0.613,14.1,ES2,2024
18,CD Eldense,27,27.4,6,0.448,12.1,ES2,2024
19,CD Mirandés,24,22.7,6,0.483,11.6,ES2,2024
20,Racing Ferrol,25,28.2,2,0.404,10.1,ES2,2024
21,SD Amorebieta,23,26.1,4,0.417,9.6,ES2,2024
22,AD Alcorcón,23,28.2,5,0.396,9.1,ES2,2024
