Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Real Madrid,29,25.7,18,27.69,802.9,ES1,2017
2,FC Barcelona,33,25.8,18,23.19,765.3,ES1,2017
3,Atlético de Madrid,38,24.7,22,13.57,515.8,ES1,2017
4,Sevilla FC,38,25.6,23,7.11,270.1,ES1,2017
5,Valencia CF,38,24.9,18,6.78,257.5,ES1,2017
6,Villarreal CF,34,25.9,13,5.61,190.7,ES1,2017
7,Athletic Bilbao,30,26.9,1,5.75,172.6,ES1,2017
8,Real Sociedad,30,25.8,4,5.22,156.45,ES1,2017
9,Celta de Vigo,29,25.4,15,4.22,122.4,ES1,2017
10,Deportivo de La Coruña,37,26.8,16,2.54,94.0,ES1,2017
11,Deportivo Alavés,30,25.3,11,2.85,85.4,ES1,2017
12,Málaga CF,32,26.0,16,2.63,84.3,ES1,2017
13,UD Las Palmas,33,26.7,9,2.55,84.3,ES1,2017
14,Real Betis Balompié,28,26.3,13,3.01,84.2,ES1,2017
15,RCD Espanyol Barcelona,29,27.3,9,2.79,80.8,ES1,2017
16,SD Eibar,28,25.9,5,2.43,67.95,ES1,2017
17,Granada CF,40,25.2,26,1.66,66.45,ES1,2017
18,CD Leganés,37,26.1,11,1.44,53.15,ES1,2017
19,Sporting Gijón,31,25.8,9,1.51,46.75,ES1,2017
20,CA Osasuna,37,25.5,9,1.16,42.9,ES1,2017
