Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Inter Milan,41,25.2,22,16.19,663.9,IT1,2021
2,Juventus FC,45,24.7,26,14.07,633.3,IT1,2021
3,AC Milan,42,23.9,27,13.04,547.78,IT1,2021
4,SSC Napoli,32,26.0,21,16.57,530.2,IT1,2021
5,Atalanta BC,39,25.0,21,11.03,430.0,IT1,2021
6,AS Roma,46,24.6,28,8.6,395.65,IT1,2021
7,SS Lazio,44,25.6,32,7.42,326.33,IT1,2021
8,ACF Fiorentina,41,25.7,24,7.0,286.8,IT1,2021
9,US Sassuolo,39,24.9,19,6.2,241.74,IT1,2021
10,Cagliari Calcio,42,25.4,19,4.47,187.83,IT1,2021
11,Torino FC,40,25.4,22,4.38,175.28,IT1,2021
12,Udinese Calcio,42,25.8,30,4.12,173.0,IT1,2021
13,Hellas Verona,46,24.2,21,3.42,157.21,IT1,2021
14,Bologna FC 1909,45,24.1,28,3.41,153.6,IT1,2021
15,Parma Calcio 1913,53,25.1,30,2.43,128.7,IT1,2021
16,UC Sampdoria,34,26.4,18,3.74,127.18,IT1,2021
17,Genoa CFC,44,26.5,23,2.54,111.93,IT1,2021
18,Spezia Calcio,39,25.7,17,1.84,71.68,IT1,2021
19,FC Crotone,41,26.0,19,1.29,52.75,IT1,2021
20,Benevento Calcio,36,27.4,14,1.39,50.13,IT1,2021
