Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Ajax Amsterdam,35,23.9,19,3.28,114.7,NL1,2009
2,AZ Alkmaar,27,23.5,15,3.06,82.53,NL1,2009
3,PSV Eindhoven,30,24.3,17,2.67,80.15,NL1,2009
4,Feyenoord Rotterdam,40,24.7,13,1.87,74.73,NL1,2009
5,Twente Enschede FC,32,25.0,13,1.79,57.25,NL1,2009
6,SC Heerenveen,38,23.8,24,1.33,50.4,NL1,2009
7,FC Groningen,29,24.3,17,1.42,41.23,NL1,2009
8,Vitesse Arnhem,30,24.0,10,0.932,27.95,NL1,2009
9,FC Utrecht,32,24.7,11,0.871,27.88,NL1,2009
10,NEC Nijmegen,29,24.9,11,0.874,25.35,NL1,2009
11,Roda JC Kerkrade,28,25.1,19,0.902,25.25,NL1,2009
12,NAC Breda,32,26.6,8,0.788,25.23,NL1,2009
13,Willem II Tilburg,30,24.7,13,0.624,18.73,NL1,2009
14,ADO Den Haag,33,25.4,9,0.542,17.88,NL1,2009
15,De Graafschap Doetinchem,39,24.9,10,0.41,15.98,NL1,2009
16,Heracles Almelo,33,24.4,16,0.482,15.9,NL1,2009
17,Sparta Rotterdam,30,24.0,9,0.522,15.65,NL1,2009
18,FC Volendam,27,24.9,4,0.308,8.33,NL1,2009
