Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Bayern Munich,33,25.5,17,17.43,575.13,L1,2015
2,Borussia Dortmund,37,24.7,18,8.64,319.5,L1,2015
3,VfL Wolfsburg,30,26.1,18,7.37,221.05,L1,2015
4,FC Schalke 04,36,24.0,15,5.89,212.0,L1,2015
5,Bayer 04 Leverkusen,26,24.9,14,6.82,177.35,L1,2015
6,Borussia Mönchengladbach,27,25.9,14,4.84,130.63,L1,2015
7,TSG 1899 Hoffenheim,30,24.4,14,4.06,121.78,L1,2015
8,1.FSV Mainz 05,36,24.9,19,2.44,88.0,L1,2015
9,Hamburger SV,38,25.2,21,2.29,87.15,L1,2015
10,VfB Stuttgart,30,24.7,16,2.9,86.95,L1,2015
11,Hannover 96,35,25.6,16,2.19,76.65,L1,2015
12,Eintracht Frankfurt,30,25.1,14,2.5,74.9,L1,2015
13,SV Werder Bremen,36,23.9,15,1.88,67.53,L1,2015
14,Hertha BSC,30,26.3,16,2.2,66.0,L1,2015
15,SC Freiburg,30,25.1,13,1.91,57.4,L1,2015
16,1. FC Köln,27,25.4,14,1.88,50.75,L1,2015
17,FC Augsburg,35,25.5,19,1.43,50.08,L1,2015
18,SC Paderborn 07,28,26.1,8,1.02,28.5,L1,2015
