Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,SL Benfica B,52,19.9,13,0.823,42.78,PO2,2022
2,FC Porto B,38,21.4,16,0.586,22.25,PO2,2022
3,Rio Ave FC,35,26.2,18,0.368,12.88,PO2,2022
4,Leixões SC,43,25.3,29,0.182,7.83,PO2,2022
5,CD Mafra,33,25.6,19,0.237,7.83,PO2,2022
6,SC Farense,36,25.4,23,0.208,7.48,PO2,2022
7,CD Feirense,31,24.7,19,0.22,6.83,PO2,2022
8,GD Chaves,30,27.1,16,0.224,6.73,PO2,2022
9,CF Estrela Amadora SAD,38,24.8,15,0.174,6.63,PO2,2022
10,Casa Pia AC,28,26.6,18,0.233,6.53,PO2,2022
11,CD Nacional,30,27.0,15,0.208,6.23,PO2,2022
12,CD Trofense,34,25.1,17,0.182,6.18,PO2,2022
13,Académica Coimbra,38,26.7,18,0.154,5.85,PO2,2022
14,Académico Viseu FC,37,26.9,15,0.153,5.65,PO2,2022
15,SC Covilhã,35,26.2,20,0.154,5.4,PO2,2022
16,UD Vilafranquense,34,26.9,23,0.151,5.13,PO2,2022
17,FC Penafiel,28,27.7,6,0.162,4.53,PO2,2022
18,Varzim SC,29,27.5,10,0.147,4.28,PO2,2022
