Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,AS Monaco,35,25.2,23,1.9,66.65,FR2,2013
2,Dijon FCO,35,24.1,13,0.789,27.6,FR2,2013
3,FC Nantes,36,23.8,18,0.638,22.95,FR2,2013
4,AJ Auxerre,38,23.2,20,0.601,22.85,FR2,2013
5,AC Le Havre,33,23.6,13,0.539,17.8,FR2,2013
6,EA Guingamp,27,26.3,9,0.609,16.45,FR2,2013
7,RC Lens,32,23.9,17,0.47,15.05,FR2,2013
8,SM Caen,28,25.5,15,0.516,14.45,FR2,2013
9,CS Sedan-Ardennes,29,24.6,17,0.447,12.95,FR2,2013
10,Tours FC,30,23.7,9,0.42,12.6,FR2,2013
11,Clermont Foot Auvergne 63,29,25.3,13,0.421,12.2,FR2,2013
12,Athlétic Club Arlésien,36,26.0,13,0.325,11.7,FR2,2013
13,Angers SCO,30,25.7,16,0.387,11.6,FR2,2013
14,LB Châteauroux,34,23.7,11,0.309,10.5,FR2,2013
15,FC Istres Ouest Provence,33,24.2,18,0.312,10.3,FR2,2013
16,Le Mans FC,35,23.2,19,0.284,9.95,FR2,2013
17,Nîmes Olympique,32,26.7,13,0.3,9.6,FR2,2013
18,Stade Lavallois,30,25.6,12,0.282,8.45,FR2,2013
19,Chamois Niortais FC,29,25.9,9,0.205,5.95,FR2,2013
20,GFC Ajaccio,31,26.9,7,0.168,5.2,FR2,2013
