Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,FC Porto,36,24.2,28,7.9,284.4,PO1,2012
2,SL Benfica,32,24.9,21,5.61,179.5,PO1,2012
3,Sporting CP,36,24.4,21,4.07,146.6,PO1,2012
4,SC Braga,37,26.2,23,2.13,78.75,PO1,2012
5,Vitória Guimarães SC,32,26.4,19,0.978,31.3,PO1,2012
6,CD Nacional,37,25.0,26,0.838,31.0,PO1,2012
7,Académica Coimbra,33,25.3,17,0.842,27.8,PO1,2012
8,Rio Ave FC,33,26.8,13,0.795,26.25,PO1,2012
9,Vitória Setúbal FC,35,26.7,13,0.703,24.6,PO1,2012
10,União de Leiria,42,23.5,28,0.582,24.45,PO1,2012
11,SC Beira-Mar,34,24.8,15,0.675,22.95,PO1,2012
12,CS Marítimo,30,25.8,23,0.742,22.25,PO1,2012
13,SC Olhanense,30,26.5,15,0.673,20.2,PO1,2012
14,FC Paços de Ferreira,33,25.1,18,0.602,19.85,PO1,2012
15,CD Feirense,29,24.8,12,0.648,18.8,PO1,2012
16,Gil Vicente FC,32,26.4,17,0.536,17.15,PO1,2012
