Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Juventus FC,48,24.5,13,4.68,224.7,IT2,2007
2,US Lecce,42,24.0,15,0.772,32.43,IT2,2007
3,SSC Napoli,26,27.3,6,1.18,30.75,IT2,2007
4,Bologna FC 1909,44,25.7,3,0.597,26.29,IT2,2007
5,Genoa CFC,55,25.9,16,0.477,26.23,IT2,2007
6,Brescia Calcio,42,23.1,18,0.485,20.36,IT2,2007
7,Piacenza FC,42,22.8,13,0.376,15.81,IT2,2007
8,Treviso FBC 1993,49,24.5,17,0.29,14.23,IT2,2007
9,AC Arezzo,45,24.5,5,0.257,11.58,IT2,2007
10,US Triestina,37,25.1,7,0.3,11.1,IT2,2007
11,Vicenza Calcio,41,26.0,5,0.265,10.87,IT2,2007
12,Hellas Verona,47,24.6,7,0.23,10.81,IT2,2007
13,FC Crotone,45,25.0,11,0.239,10.75,IT2,2007
14,AS Bari,43,24.1,3,0.224,9.65,IT2,2007
15,AC Cesena,39,23.7,6,0.229,8.95,IT2,2007
16,Rimini FC,28,25.9,5,0.317,8.88,IT2,2007
17,Spezia Calcio 1906,37,27.8,3,0.228,8.43,IT2,2007
18,Modena FC,33,24.6,1,0.233,7.68,IT2,2007
19,AC Mantova 1911,32,26.3,0,0.229,7.33,IT2,2007
20,Delfino Pescara 1936,53,24.1,2,0.137,7.25,IT2,2007
21,UC AlbinoLeffe,34,24.6,2,0.14,4.78,IT2,2007
22,Frosinone Calcio,39,26.4,4,0.109,4.24,IT2,2007
