Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Celta de Vigo,33,27.1,13,0.862,28.45,ES2,2005
2,Córdoba CF,40,26.6,14,0.313,12.5,ES2,2005
3,Deportivo Alavés,31,26.9,12,0.395,12.25,ES2,2005
4,Real Valladolid CF,26,26.3,8,0.404,10.5,ES2,2005
5,Polideportivo Ejido,27,27.6,4,0.337,9.1,ES2,2005
6,UD Almería,28,27.4,8,0.321,9.0,ES2,2005
7,Real Murcia CF,33,24.5,11,0.244,8.05,ES2,2005
8,Recreativo Huelva,28,27.0,5,0.168,4.7,ES2,2005
9,Pontevedra CF,31,26.2,8,0.145,4.5,ES2,2005
10,UE Lleida,23,26.2,2,0.148,3.4,ES2,2005
11,CD Tenerife,27,26.2,6,0.126,3.4,ES2,2005
12,Elche CF,31,27.8,7,0.094,2.9,ES2,2005
13,Gimnàstic de Tarragona,28,27.2,1,0.096,2.7,ES2,2005
14,Ciudad de Murcia,34,26.7,11,0.07,2.37,ES2,2005
15,SD Eibar,25,24.8,2,0.056,1.4,ES2,2005
16,Xerez CD,23,27.3,3,0.055,1.27,ES2,2005
17,Terrassa FC,24,28.1,2,0.044,1.05,ES2,2005
18,Cádiz CF,26,26.3,6,0.04,1.05,ES2,2005
19,Sporting Gijón,31,25.4,5,0.032,1.0,ES2,2005
20,Málaga CF B,24,21.6,3,0.035,0.85,ES2,2005
21,UD Salamanca,26,27.1,5,0.019,0.5,ES2,2005
22,Racing Ferrol,28,26.6,6,0.016,0.45,ES2,2005
