Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Bayern Munich,45,23.9,22,19.07,858.23,L1,2021
2,Borussia Dortmund,32,25.0,16,19.64,628.4,L1,2021
3,RB Leipzig,32,23.7,23,17.97,574.95,L1,2021
4,Bayer 04 Leverkusen,33,25.0,22,11.31,373.25,L1,2021
5,Borussia Mönchengladbach,33,25.7,19,9.11,300.75,L1,2021
6,Eintracht Frankfurt,36,25.6,24,7.48,269.15,L1,2021
7,VfL Wolfsburg,30,26.0,20,8.56,256.83,L1,2021
8,Hertha BSC,38,24.4,20,6.02,228.88,L1,2021
9,TSG 1899 Hoffenheim,37,25.1,25,6.17,228.15,L1,2021
10,VfB Stuttgart,32,23.8,16,5.91,189.25,L1,2021
11,1.FSV Mainz 05,36,24.9,18,4.54,163.3,L1,2021
12,SC Freiburg,30,25.2,13,4.64,139.1,L1,2021
13,FC Schalke 04,45,24.8,27,2.73,123.05,L1,2021
14,1. FC Köln,36,24.9,17,3.28,118.2,L1,2021
15,SV Werder Bremen,33,25.2,15,3.39,111.98,L1,2021
16,FC Augsburg,31,25.8,18,3.0,93.05,L1,2021
17,1.FC Union Berlin,33,25.8,10,2.49,82.05,L1,2021
18,Arminia Bielefeld,33,24.9,15,1.72,56.73,L1,2021
