Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Torino FC,49,26.0,12,0.856,41.95,IT2,2010
2,US Lecce,37,25.1,10,0.947,35.05,IT2,2010
3,Brescia Calcio,37,25.1,15,0.799,29.58,IT2,2010
4,Empoli FC,39,24.3,4,0.658,25.65,IT2,2010
5,Reggina Calcio,40,23.8,8,0.621,24.85,IT2,2010
6,AC Cesena,49,24.2,9,0.495,24.25,IT2,2010
7,Vicenza Calcio,43,24.9,8,0.459,19.73,IT2,2010
8,US Grosseto FC,40,25.5,9,0.466,18.63,IT2,2010
9,Piacenza FC,44,23.3,11,0.418,18.4,IT2,2010
10,US Sassuolo,36,24.8,6,0.492,17.7,IT2,2010
11,Ascoli Calcio 1898,50,23.4,6,0.348,17.38,IT2,2010
12,US Triestina,40,25.3,12,0.421,16.85,IT2,2010
13,Calcio Padova,41,24.8,9,0.402,16.48,IT2,2010
14,UC AlbinoLeffe,41,25.8,4,0.36,14.75,IT2,2010
15,Frosinone Calcio,37,24.9,10,0.389,14.4,IT2,2010
16,Salernitana Calcio 1919,42,25.9,5,0.338,14.18,IT2,2010
17,AC Mantova 1911,42,25.3,3,0.336,14.1,IT2,2010
18,AC Ancona,32,24.0,8,0.436,13.95,IT2,2010
19,AS Cittadella,29,25.8,3,0.466,13.5,IT2,2010
20,FC Crotone,39,25.1,5,0.344,13.43,IT2,2010
21,Gallipoli Calcio,55,23.2,11,0.239,13.15,IT2,2010
22,Modena FC,36,23.6,4,0.356,12.8,IT2,2010
