Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Málaga CF,39,26.4,20,1.22,47.4,ES2,2019
2,UD Las Palmas,40,27.4,9,0.929,37.15,ES2,2019
3,Deportivo de La Coruña,33,27.6,9,1.12,36.85,ES2,2019
4,Granada CF,29,26.3,5,1.05,30.4,ES2,2019
5,CA Osasuna,30,26.0,0,0.942,28.25,ES2,2019
6,Cádiz CF,37,26.8,12,0.75,27.75,ES2,2019
7,CD Tenerife,33,26.5,10,0.783,25.85,ES2,2019
8,Albacete Balompié,38,25.6,17,0.655,24.9,ES2,2019
9,Sporting Gijón,35,25.0,10,0.7,24.5,ES2,2019
10,UD Almería,37,25.5,10,0.604,22.35,ES2,2019
11,Real Zaragoza,35,25.9,10,0.621,21.75,ES2,2019
12,RCD Mallorca,33,26.2,11,0.629,20.75,ES2,2019
13,Extremadura UD,48,27.0,12,0.399,19.15,ES2,2019
14,CD Lugo,41,25.3,10,0.459,18.8,ES2,2019
15,CF Rayo Majadahonda,33,26.3,5,0.506,16.7,ES2,2019
16,Gimnàstic de Tarragona,49,25.5,18,0.339,16.6,ES2,2019
17,Real Oviedo,31,26.6,7,0.527,16.35,ES2,2019
18,Córdoba CF,38,25.8,8,0.426,16.2,ES2,2019
19,CD Numancia,37,25.7,6,0.434,16.05,ES2,2019
20,Elche CF,36,27.4,7,0.422,15.2,ES2,2019
21,AD Alcorcón,38,26.9,6,0.346,13.15,ES2,2019
22,CF Reus Deportiu,27,25.2,5,0.333,9.0,ES2,2019
