Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,ESTAC Troyes,38,24,6,8,61:24,37,78,FR2,2015
2,GFC Ajaccio,38,18,11,9,49:37,12,65,FR2,2015
3,Angers SCO,38,18,10,10,47:30,17,64,FR2,2015
4,Dijon FCO,38,17,10,11,44:34,10,61,FR2,2015
5,AS Nancy-Lorraine,38,15,13,10,53:39,14,58,FR2,2015
6,Stade Brestois 29,38,14,15,9,41:27,14,57,FR2,2015
7,AC Le Havre,38,14,13,11,47:37,10,55,FR2,2015
8,Stade Lavallois,38,11,21,6,41:34,7,54,FR2,2015
9,AJ Auxerre,38,12,16,10,48:42,6,52,FR2,2015
10,FC Sochaux-Montbéliard,38,13,13,12,39:37,2,52,FR2,2015
11,Chamois Niortais FC,38,11,17,10,41:42,-1,50,FR2,2015
12,Clermont Foot 63,38,12,13,13,43:47,-4,49,FR2,2015
13,Nîmes Olympique,38,12,10,16,44:57,-13,46,FR2,2015
14,US Créteil-Lusitanos,38,10,15,13,44:52,-8,45,FR2,2015
15,Tours FC,38,12,8,18,49:54,-5,44,FR2,2015
16,Valenciennes FC,38,10,12,16,34:51,-17,42,FR2,2015
17,AC Ajaccio,38,9,14,15,32:42,-10,41,FR2,2015
18,US Orléans,38,9,13,16,36:47,-11,40,FR2,2015
19,LB Châteauroux,38,7,11,20,31:63,-32,32,FR2,2015
20,Athlétic Club Arlésien,38,7,9,22,31:59,-28,30,FR2,2015
