Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,VVV-Venlo,38,25,5,8,86:38,48,80,NL2,2009
2,RKC Waalwijk,38,18,17,3,68:31,37,71,NL2,2009
3,Cambuur-Leeuwarden bvo,38,20,9,9,68:49,19,69,NL2,2009
4,FC Zwolle,38,18,9,11,58:49,9,63,NL2,2009
5,Excelsior Rotterdam,38,16,13,9,53:43,10,61,NL2,2009
6,MVV Maastricht,38,16,12,10,60:42,18,60,NL2,2009
7,Go Ahead Eagles,38,14,14,10,41:41,0,56,NL2,2009
8,FC Dordrecht,38,15,10,13,51:39,12,55,NL2,2009
9,FC Den Bosch,38,15,8,15,59:51,8,53,NL2,2009
10,Helmond Sport,38,14,11,13,50:48,2,53,NL2,2009
11,AGOVV Apeldoorn,38,15,7,16,60:67,-7,52,NL2,2009
12,HFC Haarlem,38,15,5,18,43:56,-13,50,NL2,2009
13,FC Emmen,38,13,8,17,48:68,-20,47,NL2,2009
14,TOP Oss,38,11,9,18,50:63,-13,42,NL2,2009
15,Fortuna Sittard,38,11,9,18,42:59,-17,42,NL2,2009
16,RBC Roosendaal,38,11,7,20,43:55,-12,40,NL2,2009
17,SC Telstar,38,9,12,17,42:56,-14,39,NL2,2009
18,FC Eindhoven,38,9,14,15,59:80,-21,38,NL2,2009
19,SC Veendam,38,10,9,19,46:67,-21,36,NL2,2009
20,FC Omniworld,38,8,6,24,40:65,-25,30,NL2,2009
