Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Porto,34,24,7,3,54:16,38,79,PO1,2006
2,Sporting CP,34,22,6,6,50:24,26,72,PO1,2006
3,SL Benfica,34,20,7,7,51:29,22,67,PO1,2006
4,SC Braga,34,17,7,10,38:22,16,58,PO1,2006
5,CD Nacional,34,14,10,10,40:32,8,52,PO1,2006
6,Boavista FC,34,12,14,8,37:29,8,50,PO1,2006
7,União de Leiria,34,13,8,13,44:42,2,47,PO1,2006
8,Vitória Setúbal FC,34,14,4,16,28:33,-5,46,PO1,2006
9,Clube Futebol Estrela da Amadora,34,12,9,13,31:33,-2,45,PO1,2006
10,CS Marítimo,34,10,14,10,38:37,1,44,PO1,2006
11,FC Paços de Ferreira,34,11,9,14,38:49,-11,42,PO1,2006
12,Gil Vicente FC,34,11,7,16,37:42,-5,40,PO1,2006
13,CF Os Belenenses,34,11,6,17,40:42,-2,39,PO1,2006
14,Académica Coimbra,34,10,9,15,37:48,-11,39,PO1,2006
15,Naval 1º de Maio,34,11,6,17,35:48,-13,39,PO1,2006
16,Vitória Guimarães SC,34,8,10,16,28:41,-13,34,PO1,2006
17,Rio Ave FC,34,8,10,16,34:53,-19,34,PO1,2006
18,FC Penafiel,34,2,9,23,21:61,-40,15,PO1,2006
