Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Xerez CD,42,24,10,8,73:42,31,82,ES2,2009
2,Real Zaragoza,42,23,12,7,79:42,37,81,ES2,2009
3,CD Tenerife,42,24,9,9,79:47,32,81,ES2,2009
4,Hércules CF,42,21,15,6,82:43,39,78,ES2,2009
5,Rayo Vallecano,42,18,16,8,55:39,16,70,ES2,2009
6,Real Sociedad,42,17,16,9,48:38,10,67,ES2,2009
7,CD Castellón,42,17,14,11,55:42,13,65,ES2,2009
8,Levante UD,42,18,10,14,59:59,0,64,ES2,2009
9,UD Salamanca,42,16,12,14,59:50,9,60,ES2,2009
10,Gimnàstic de Tarragona,42,14,15,13,60:50,10,57,ES2,2009
11,SD Huesca,42,13,14,15,47:46,1,53,ES2,2009
12,Elche CF,42,13,14,15,52:50,2,53,ES2,2009
13,Córdoba CF,42,14,11,17,47:54,-7,53,ES2,2009
14,Real Murcia CF,42,14,10,18,48:58,-10,52,ES2,2009
15,Albacete Balompié,42,13,12,17,42:54,-12,51,ES2,2009
16,Girona FC,42,11,16,15,43:54,-11,49,ES2,2009
17,Celta de Vigo,42,10,18,14,46:56,-10,48,ES2,2009
18,UD Las Palmas,42,10,17,15,46:51,-5,47,ES2,2009
19,Deportivo Alavés,42,11,10,21,42:64,-22,43,ES2,2009
20,Alicante CF,42,8,11,23,38:69,-31,35,ES2,2009
21,SD Eibar,42,8,11,23,31:63,-32,35,ES2,2009
22,Sevilla Atlético,42,2,13,27,29:89,-60,19,ES2,2009
