Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,SD Eibar,42,19,14,9,49:28,21,71,ES2,2014
2,Deportivo de La Coruña,42,19,12,11,48:36,12,69,ES2,2014
3,FC Barcelona B,42,20,6,16,60:47,13,66,ES2,2014
4,Real Murcia CF,42,16,17,9,55:44,11,65,ES2,2014
5,Sporting Gijón,42,16,16,10,63:51,12,64,ES2,2014
6,UD Las Palmas,42,18,9,15,51:50,1,63,ES2,2014
7,Córdoba CF,42,16,13,13,46:43,3,61,ES2,2014
8,Recreativo Huelva,42,16,13,13,53:53,0,61,ES2,2014
9,AD Alcorcón,42,16,11,15,46:40,6,59,ES2,2014
10,CE Sabadell FC,42,17,8,17,52:59,-7,59,ES2,2014
11,CD Tenerife,42,15,9,18,46:49,-3,54,ES2,2014
12,CD Lugo,42,14,12,16,41:48,-7,54,ES2,2014
13,CD Numancia,42,11,21,10,42:41,1,54,ES2,2014
14,Real Zaragoza,42,13,14,15,49:53,-4,53,ES2,2014
15,SD Ponferradina,42,13,12,17,46:49,-3,51,ES2,2014
16,Girona FC,42,12,15,15,52:50,2,51,ES2,2014
17,RCD Mallorca,42,12,15,15,46:57,-11,51,ES2,2014
18,Deportivo Alavés,42,13,12,17,57:57,0,51,ES2,2014
19,CD Mirandés,42,13,11,18,39:56,-17,50,ES2,2014
20,Real Madrid Castilla,42,13,10,19,49:56,-7,49,ES2,2014
21,Real Jaén CF,42,12,12,18,43:49,-6,48,ES2,2014
22,Hércules CF,42,11,12,19,45:62,-17,45,ES2,2014
