Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,SC Beira-Mar,34,18,14,2,45:18,27,68,PO2,2006
2,Desportivo Aves (- 2020),34,18,10,6,47:30,17,64,PO2,2006
3,Leixões SC,34,17,11,6,47:19,28,62,PO2,2006
4,SC Olhanense,34,13,13,8,41:28,13,52,PO2,2006
5,Varzim SC,34,13,13,8,47:39,8,52,PO2,2006
6,Gondomar SC,34,14,9,11,56:41,15,51,PO2,2006
7,CD Santa Clara,34,13,12,9,45:32,13,51,PO2,2006
8,GD Chaves,34,13,11,10,40:36,4,50,PO2,2006
9,GD Estoril Praia,34,11,12,11,44:43,1,45,PO2,2006
10,CD Feirense,34,12,8,14,44:44,0,44,PO2,2006
11,FC Vizela,34,11,11,12,42:48,-6,44,PO2,2006
12,Portimonense SC,34,10,13,11,36:36,0,43,PO2,2006
13,Moreirense FC,34,11,9,14,36:37,-1,42,PO2,2006
14,SC Covilhã,34,10,12,12,37:42,-5,42,PO2,2006
15,FC Barreirense,34,8,11,15,31:41,-10,35,PO2,2006
16,FC Marco (-2008),34,7,8,19,32:63,-31,29,PO2,2006
17,AD Ovarense,34,6,7,21,36:72,-36,25,PO2,2006
18,FC Maia,34,6,6,22,30:67,-37,24,PO2,2006
