Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,VVV-Venlo,38,25,5,8,75:35,40,80,NL2,2017
2,Ajax Amsterdam U21,38,23,7,8,93:54,39,76,NL2,2017
3,SC Cambuur Leeuwarden,38,22,5,11,78:42,36,71,NL2,2017
4,PSV Eindhoven U21,38,20,9,9,66:35,31,69,NL2,2017
5,NAC Breda,38,19,7,12,65:50,15,64,NL2,2017
6,FC Volendam,38,17,11,10,63:44,19,62,NL2,2017
7,MVV Maastricht,38,15,14,9,55:45,10,59,NL2,2017
8,Almere City FC,38,17,8,13,74:66,8,59,NL2,2017
9,FC Emmen,38,14,13,11,50:40,10,55,NL2,2017
10,RKC Waalwijk,38,15,9,14,62:70,-8,54,NL2,2017
11,FC Eindhoven,38,15,8,15,64:71,-7,53,NL2,2017
12,De Graafschap Doetinchem,38,15,5,18,70:63,7,50,NL2,2017
13,Helmond Sport,38,14,7,17,51:67,-16,49,NL2,2017
14,FC Den Bosch,38,12,9,17,48:67,-19,45,NL2,2017
15,FC Oss,38,12,5,21,67:95,-28,41,NL2,2017
16,SC Telstar,38,10,10,18,46:64,-18,40,NL2,2017
17,Fortuna Sittard,38,13,9,16,54:67,-13,39,NL2,2017
18,FC Utrecht U21,38,10,7,21,50:71,-21,37,NL2,2017
19,FC Dordrecht,38,5,9,24,42:72,-30,24,NL2,2017
20,Achilles '29,38,5,7,26,37:92,-55,19,NL2,2017
