Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Bayern Munich,34,22,10,2,68:21,47,76,L1,2008
2,SV Werder Bremen,34,20,6,8,75:45,30,66,L1,2008
3,FC Schalke 04,34,18,10,6,55:32,23,64,L1,2008
4,Hamburger SV,34,14,12,8,47:26,21,54,L1,2008
5,VfL Wolfsburg,34,15,9,10,58:46,12,54,L1,2008
6,VfB Stuttgart,34,16,4,14,57:57,0,52,L1,2008
7,Bayer 04 Leverkusen,34,15,6,13,57:40,17,51,L1,2008
8,Hannover 96,34,13,10,11,54:56,-2,49,L1,2008
9,Eintracht Frankfurt,34,12,10,12,43:50,-7,46,L1,2008
10,Hertha BSC,34,12,8,14,39:44,-5,44,L1,2008
11,Karlsruher SC,34,11,10,13,38:53,-15,43,L1,2008
12,VfL Bochum,34,10,11,13,48:54,-6,41,L1,2008
13,Borussia Dortmund,34,10,10,14,50:62,-12,40,L1,2008
14,FC Energie Cottbus,34,9,9,16,35:56,-21,36,L1,2008
15,Arminia Bielefeld,34,8,10,16,35:60,-25,34,L1,2008
16,1.FC Nuremberg,34,7,10,17,35:51,-16,31,L1,2008
17,FC Hansa Rostock,34,8,6,20,30:52,-22,30,L1,2008
18,MSV Duisburg,34,8,5,21,36:55,-19,29,L1,2008
