Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Real Valladolid CF,42,26,10,6,70:35,35,88,ES2,2007
2,UD Almería,42,24,8,10,73:49,24,80,ES2,2007
3,Real Murcia CF,42,21,13,8,62:45,17,76,ES2,2007
4,Ciudad de Murcia,42,18,9,15,52:44,8,63,ES2,2007
5,Cádiz CF,42,15,16,11,53:45,8,61,ES2,2007
6,Albacete Balompié,42,16,12,14,49:48,1,60,ES2,2007
7,CD Tenerife,42,18,6,18,48:51,-3,60,ES2,2007
8,CD Numancia,42,15,13,14,48:44,4,58,ES2,2007
9,Xerez CD,42,16,10,16,47:42,5,58,ES2,2007
10,Elche CF,42,16,10,16,47:46,1,58,ES2,2007
11,Polideportivo Ejido,42,16,10,16,52:50,2,58,ES2,2007
12,UD Salamanca,42,15,12,15,53:50,3,57,ES2,2007
13,Sporting Gijón,42,16,8,18,53:53,0,56,ES2,2007
14,CD Castellón,42,15,11,16,48:41,7,56,ES2,2007
15,Málaga CF,42,14,13,15,49:50,-1,55,ES2,2007
16,Hércules CF,42,14,12,16,48:52,-4,54,ES2,2007
17,Deportivo Alavés,42,13,13,16,51:60,-9,52,ES2,2007
18,UD Las Palmas,42,13,12,17,51:59,-8,51,ES2,2007
19,Real Madrid Castilla,42,13,10,19,55:67,-12,49,ES2,2007
20,SD Ponferradina,42,11,13,18,45:61,-16,46,ES2,2007
21,Lorca Deportiva CF,42,9,10,23,37:60,-23,37,ES2,2007
22,UD Vecindario,42,9,7,26,42:81,-39,34,ES2,2007
