Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Bayern Munich,34,22,9,3,67:32,35,75,L1,2006
2,SV Werder Bremen,34,21,7,6,79:37,42,70,L1,2006
3,Hamburger SV,34,21,5,8,53:30,23,68,L1,2006
4,FC Schalke 04,34,16,13,5,47:31,16,61,L1,2006
5,Bayer 04 Leverkusen,34,14,10,10,64:49,15,52,L1,2006
6,Hertha BSC,34,12,12,10,52:48,4,48,L1,2006
7,Borussia Dortmund,34,11,13,10,45:42,3,46,L1,2006
8,1.FC Nuremberg,34,12,8,14,49:51,-2,44,L1,2006
9,VfB Stuttgart,34,9,16,9,37:39,-2,43,L1,2006
10,Borussia Mönchengladbach,34,10,12,12,42:50,-8,42,L1,2006
11,1.FSV Mainz 05,34,9,11,14,46:47,-1,38,L1,2006
12,Hannover 96,34,7,17,10,43:47,-4,38,L1,2006
13,Arminia Bielefeld,34,10,7,17,32:47,-15,37,L1,2006
14,Eintracht Frankfurt,34,9,9,16,42:51,-9,36,L1,2006
15,VfL Wolfsburg,34,7,13,14,33:55,-22,34,L1,2006
16,1.FC Kaiserslautern,34,8,9,17,47:71,-24,33,L1,2006
17,1. FC Köln,34,7,9,18,49:71,-22,30,L1,2006
18,MSV Duisburg,34,5,12,17,34:63,-29,27,L1,2006
