Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,SC Bastia,38,21,8,9,61:36,25,71,FR2,2012
2,Stade Reims,38,18,11,9,54:37,17,65,FR2,2012
3,ESTAC Troyes,38,17,13,8,45:35,10,64,FR2,2012
4,CS Sedan-Ardennes,38,15,14,9,56:45,11,59,FR2,2012
5,Clermont Foot Auvergne 63,38,15,13,10,48:39,9,58,FR2,2012
6,Tours FC,38,15,11,12,44:43,1,56,FR2,2012
7,EA Guingamp,38,15,10,13,46:43,3,55,FR2,2012
8,AS Monaco,38,13,13,12,41:48,-7,52,FR2,2012
9,FC Nantes,38,14,9,15,51:42,9,51,FR2,2012
10,FC Istres Ouest Provence ,38,13,12,13,46:44,2,51,FR2,2012
11,Angers SCO,38,13,12,13,44:45,-1,51,FR2,2012
12,RC Lens,38,12,12,14,42:48,-6,48,FR2,2012
13,Athlétic Club Arlésien,38,10,18,10,34:41,-7,48,FR2,2012
14,LB Châteauroux,38,14,6,18,38:54,-16,48,FR2,2012
15,AC Le Havre,38,11,14,13,38:34,4,47,FR2,2012
16,Stade Lavallois,38,12,11,15,46:50,-4,47,FR2,2012
17,Le Mans FC,38,11,12,15,39:40,-1,45,FR2,2012
18,FC Metz,38,10,12,16,30:44,-14,42,FR2,2012
19,US Boulogne,38,7,15,16,40:47,-7,36,FR2,2012
20,Amiens SC,38,4,14,20,29:57,-28,26,FR2,2012
