Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,UD Almería,42,24,9,9,68:35,33,81,ES2,2022
2,Real Valladolid CF,42,24,9,9,71:43,28,81,ES2,2022
3,SD Eibar,42,23,11,8,61:45,16,80,ES2,2022
4,UD Las Palmas,42,19,13,10,57:47,10,70,ES2,2022
5,CD Tenerife,42,20,9,13,53:37,16,69,ES2,2022
6,Girona FC,42,20,8,14,57:42,15,68,ES2,2022
7,Real Oviedo,42,17,17,8,57:41,16,68,ES2,2022
8,SD Ponferradina,42,17,12,13,57:55,2,63,ES2,2022
9,FC Cartagena,42,18,6,18,63:57,6,60,ES2,2022
10,Real Zaragoza,42,12,20,10,39:46,-7,56,ES2,2022
11,Burgos CF,42,15,10,17,41:41,0,55,ES2,2022
12,CD Leganés,42,13,15,14,50:51,-1,54,ES2,2022
13,SD Huesca,42,13,15,14,49:44,5,54,ES2,2022
14,CD Mirandés,42,15,7,20,58:62,-4,52,ES2,2022
15,UD Ibiza,42,12,16,14,53:59,-6,52,ES2,2022
16,CD Lugo,42,10,20,12,46:52,-6,50,ES2,2022
17,Sporting Gijón,42,11,13,18,43:48,-5,46,ES2,2022
18,Málaga CF,42,11,12,19,36:57,-21,45,ES2,2022
19,SD Amorebieta,42,9,16,17,44:63,-19,43,ES2,2022
20,Real Sociedad B,42,10,10,22,43:61,-18,40,ES2,2022
21,CF Fuenlabrada,42,6,15,21,39:65,-26,33,ES2,2022
22,AD Alcorcón,42,6,11,25,37:71,-34,29,ES2,2022
