Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Twente Enschede FC,38,25,5,8,72:39,33,80,NL2,2019
2,Sparta Rotterdam,38,19,12,7,78:47,31,69,NL2,2019
3,PSV Eindhoven U21,38,18,9,11,77:59,18,63,NL2,2019
4,FC Den Bosch,38,18,9,11,64:49,15,63,NL2,2019
5,Go Ahead Eagles,38,19,6,13,63:57,6,63,NL2,2019
6,TOP Oss,38,18,8,12,48:40,8,62,NL2,2019
7,Almere City FC,38,19,5,14,60:63,-3,62,NL2,2019
8,RKC Waalwijk,38,18,5,15,69:57,12,59,NL2,2019
9,NEC Nijmegen,38,16,10,12,73:60,13,58,NL2,2019
10,SC Cambuur Leeuwarden,38,16,10,12,61:48,13,58,NL2,2019
11,Ajax Amsterdam U21,38,16,8,14,81:67,14,56,NL2,2019
12,MVV Maastricht,38,14,12,12,49:53,-4,54,NL2,2019
13,Roda JC Kerkrade,38,14,11,13,57:59,-2,53,NL2,2019
14,FC Eindhoven,38,13,9,16,52:48,4,48,NL2,2019
15,SC Telstar,38,14,6,18,45:58,-13,48,NL2,2019
16,FC Volendam,38,9,14,15,46:62,-16,41,NL2,2019
17,FC Dordrecht,38,9,9,20,54:84,-30,36,NL2,2019
18,AZ Alkmaar U21,38,7,12,19,46:67,-21,33,NL2,2019
19,FC Utrecht U21,38,5,8,25,47:90,-43,23,NL2,2019
20,Helmond Sport,38,4,10,24,37:72,-35,22,NL2,2019
