Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Ajax Amsterdam,34,23,7,4,93:36,57,76,NL1,2012
2,Feyenoord Rotterdam,34,21,7,6,70:37,33,70,NL1,2012
3,PSV Eindhoven,34,21,6,7,87:47,40,69,NL1,2012
4,AZ Alkmaar,34,19,8,7,64:35,29,65,NL1,2012
5,SC Heerenveen,34,18,10,6,79:59,20,64,NL1,2012
6,Twente Enschede FC,34,17,9,8,82:46,36,60,NL1,2012
7,Vitesse Arnhem,34,15,8,11,48:43,5,53,NL1,2012
8,NEC Nijmegen,34,13,6,15,42:45,-3,45,NL1,2012
9,RKC Waalwijk,34,13,6,15,40:49,-9,45,NL1,2012
10,Roda JC Kerkrade,34,14,2,18,55:70,-15,44,NL1,2012
11,FC Utrecht,34,11,10,13,55:58,-3,43,NL1,2012
12,Heracles Almelo,34,11,7,16,52:62,-10,40,NL1,2012
13,NAC Breda,34,10,8,16,45:54,-9,38,NL1,2012
14,FC Groningen,34,10,7,17,41:61,-20,37,NL1,2012
15,ADO Den Haag,34,8,8,18,38:67,-29,32,NL1,2012
16,VVV-Venlo,34,9,4,21,42:78,-36,31,NL1,2012
17,De Graafschap Doetinchem,34,6,6,22,36:74,-38,24,NL1,2012
18,Excelsior Rotterdam,34,4,7,23,28:76,-48,19,NL1,2012
