Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Real Sociedad,42,20,14,8,53:37,16,74,ES2,2010
2,Hércules CF,42,19,14,9,61:34,27,71,ES2,2010
3,Levante UD,42,19,14,9,63:45,18,71,ES2,2010
4,Real Betis Balompié,42,19,14,9,61:38,23,71,ES2,2010
5,FC Cartagena,42,18,11,13,58:49,9,65,ES2,2010
6,Elche CF,42,18,9,15,67:57,10,63,ES2,2010
7,Villarreal CF B,42,16,13,13,60:56,4,61,ES2,2010
8,CD Numancia,42,16,11,15,55:53,2,59,ES2,2010
9,Recreativo Huelva,42,14,15,13,40:42,-2,57,ES2,2010
10,Córdoba CF,42,14,13,15,40:46,-6,55,ES2,2010
11,Rayo Vallecano,42,13,14,15,67:58,9,53,ES2,2010
12,Celta de Vigo,42,13,13,16,38:44,-6,52,ES2,2010
13,SD Huesca,42,12,16,14,36:40,-4,52,ES2,2010
14,Girona FC,42,13,13,16,45:59,-14,52,ES2,2010
15,Albacete Balompié,42,12,16,14,60:62,-2,52,ES2,2010
16,UD Salamanca,42,13,13,16,44:54,-10,52,ES2,2010
17,UD Las Palmas,42,12,15,15,49:49,0,51,ES2,2010
18,Gimnàstic de Tarragona,42,14,9,19,42:55,-13,51,ES2,2010
19,Cádiz CF,42,12,14,16,49:64,-15,50,ES2,2010
20,Real Murcia CF,42,11,17,14,49:51,-2,50,ES2,2010
21,Real Unión Club,42,12,10,20,40:59,-19,46,ES2,2010
22,CD Castellón,42,7,12,23,37:62,-25,33,ES2,2010
