Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Brescia Calcio,36,18,13,5,69:42,27,67,IT2,2019
2,US Lecce,36,19,9,8,66:45,21,66,IT2,2019
3,Benevento Calcio,36,17,9,10,61:45,16,60,IT2,2019
4,Delfino Pescara 1936,36,14,13,9,50:46,4,55,IT2,2019
5,Hellas Verona,36,13,13,10,49:46,3,52,IT2,2019
6,Spezia Calcio,36,14,9,13,53:46,7,51,IT2,2019
7,AS Cittadella,36,12,15,9,49:38,11,51,IT2,2019
8,AC Perugia Calcio,36,14,8,14,49:49,0,50,IT2,2019
9,US Cremonese,36,12,13,11,37:33,4,49,IT2,2019
10,Cosenza Calcio,36,11,13,12,34:42,-8,46,IT2,2019
11,US Palermo,36,16,15,5,57:38,19,43,IT2,2019
12,FC Crotone,36,11,10,15,40:42,-2,43,IT2,2019
13,Ascoli Calcio,36,10,13,13,40:56,-16,43,IT2,2019
14,AS Livorno,36,9,12,15,38:51,-13,39,IT2,2019
15,Venezia FC,36,8,14,14,35:46,-11,38,IT2,2019
16,US Salernitana 1919,36,10,8,18,41:57,-16,38,IT2,2019
17,Foggia Calcio,36,10,13,13,44:49,-5,37,IT2,2019
18,Calcio Padova,36,5,16,15,36:49,-13,31,IT2,2019
19,Carpi FC 1909,36,7,8,21,39:67,-28,29,IT2,2019
