Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,SC Freiburg,34,22,6,6,75:39,36,72,L2,2016
2,RB Leipzig,34,20,7,7,54:32,22,67,L2,2016
3,1.FC Nuremberg,34,19,8,7,68:41,27,65,L2,2016
4,FC St. Pauli,34,15,8,11,45:39,6,53,L2,2016
5,VfL Bochum,34,13,12,9,56:40,16,51,L2,2016
6,1.FC Union Berlin,34,13,10,11,56:50,6,49,L2,2016
7,Karlsruher SC,34,12,11,11,35:37,-2,47,L2,2016
8,Eintracht Braunschweig,34,12,10,12,44:38,6,46,L2,2016
9,SpVgg Greuther Fürth,34,13,7,14,49:55,-6,46,L2,2016
10,1.FC Kaiserslautern,34,12,9,13,49:47,2,45,L2,2016
11,1.FC Heidenheim 1846,34,11,12,11,42:40,2,45,L2,2016
12,Arminia Bielefeld,34,8,18,8,38:39,-1,42,L2,2016
13,SV Sandhausen,34,12,7,15,40:50,-10,40,L2,2016
14,Fortuna Düsseldorf,34,9,8,17,32:47,-15,35,L2,2016
15,TSV 1860 Munich,34,8,10,16,32:46,-14,34,L2,2016
16,MSV Duisburg,34,7,11,16,32:54,-22,32,L2,2016
17,FSV Frankfurt,34,8,8,18,33:59,-26,32,L2,2016
18,SC Paderborn 07,34,6,10,18,28:55,-27,28,L2,2016
