Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,SL Benfica,30,23,5,2,58:18,40,74,PO1,2014
2,Sporting CP,30,20,7,3,54:20,34,67,PO1,2014
3,FC Porto,30,19,4,7,57:25,32,61,PO1,2014
4,GD Estoril Praia,30,15,9,6,42:26,16,54,PO1,2014
5,CD Nacional,30,11,12,7,43:33,10,45,PO1,2014
6,CS Marítimo,30,11,8,11,40:44,-4,41,PO1,2014
7,Vitória Setúbal FC,30,10,9,11,41:41,0,39,PO1,2014
8,Académica Coimbra,30,9,10,11,25:35,-10,37,PO1,2014
9,SC Braga,30,10,7,13,39:37,2,37,PO1,2014
10,Vitória Guimarães SC,30,10,5,15,30:35,-5,35,PO1,2014
11,Rio Ave FC,30,8,8,14,21:35,-14,32,PO1,2014
12,FC Arouca,30,8,7,15,28:42,-14,31,PO1,2014
13,Gil Vicente FC,30,8,7,15,23:37,-14,31,PO1,2014
14,CF Os Belenenses,30,6,10,14,19:33,-14,28,PO1,2014
15,SC Olhanense,30,6,6,18,21:49,-28,24,PO1,2014
16,FC Paços de Ferreira,30,6,6,18,28:59,-31,24,PO1,2014
