Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,ESTAC Troyes,38,23,8,7,60:36,24,77,FR2,2021
2,Clermont Foot 63,38,21,9,8,61:25,36,72,FR2,2021
3,FC Toulouse,38,20,10,8,71:42,29,70,FR2,2021
4,Grenoble Foot 38,38,18,11,9,51:35,16,65,FR2,2021
5,Paris FC,38,17,13,8,53:37,16,64,FR2,2021
6,AJ Auxerre,38,16,14,8,64:43,21,62,FR2,2021
7,FC Sochaux-Montbéliard,38,12,15,11,45:37,8,51,FR2,2021
8,AS Nancy-Lorraine,38,11,14,13,53:53,0,47,FR2,2021
9,EA Guingamp,38,10,17,11,41:43,-2,47,FR2,2021
10,Amiens SC,38,11,14,13,34:40,-6,47,FR2,2021
11,Valenciennes FC,38,12,11,15,50:59,-9,47,FR2,2021
12,AC Le Havre,38,11,14,13,38:48,-10,47,FR2,2021
13,AC Ajaccio,38,11,13,14,34:43,-9,46,FR2,2021
14,Pau FC,38,11,11,16,42:49,-7,44,FR2,2021
15,Rodez AF,38,8,19,11,38:44,-6,43,FR2,2021
16,USL Dunkerque,38,10,11,17,34:47,-13,41,FR2,2021
17,SM Caen,38,9,14,15,34:49,-15,41,FR2,2021
18,Chamois Niortais FC,38,9,14,15,34:58,-24,41,FR2,2021
19,FC Chambly Oise,38,9,11,18,41:64,-23,38,FR2,2021
20,LB Châteauroux,38,4,11,23,32:58,-26,23,FR2,2021
