Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,SpVgg Greuther Fürth,34,20,10,4,73:27,46,70,L2,2012
2,Eintracht Frankfurt,34,20,8,6,76:33,43,68,L2,2012
3,Fortuna Düsseldorf,34,16,14,4,64:35,29,62,L2,2012
4,FC St. Pauli,34,18,8,8,59:34,25,62,L2,2012
5,SC Paderborn 07,34,17,10,7,51:42,9,61,L2,2012
6,TSV 1860 Munich,34,17,6,11,62:46,16,57,L2,2012
7,1.FC Union Berlin,34,14,6,14,55:58,-3,48,L2,2012
8,Eintracht Braunschweig,34,10,15,9,37:35,2,45,L2,2012
9,SG Dynamo Dresden,34,12,9,13,50:52,-2,45,L2,2012
10,MSV Duisburg,34,10,9,15,42:47,-5,39,L2,2012
11,VfL Bochum,34,10,7,17,41:55,-14,37,L2,2012
12,FC Ingolstadt 04,34,8,13,13,43:58,-15,37,L2,2012
13,FSV Frankfurt,34,7,14,13,43:59,-16,35,L2,2012
14,FC Energie Cottbus,34,8,11,15,30:49,-19,35,L2,2012
15,FC Erzgebirge Aue,34,8,11,15,31:55,-24,35,L2,2012
16,Karlsruher SC,34,9,6,19,34:60,-26,33,L2,2012
17,Alemannia Aachen,34,6,13,15,30:47,-17,31,L2,2012
18,FC Hansa Rostock,34,5,12,17,34:63,-29,27,L2,2012
